"organization_clnd","mean_citations_3","first_year","num_patents_all","num_patents_3","mean_assignees_all","mean_assignees_3","mean_inventors_all","mean_inventors_3"
"Liquidia Technologies",1,2011,15,2,1.06666666666667,1,3.66666666666667,2.5
"Little Kids",0,1989,14,1,1,1,1.57142857142857,1
"Livetv",0,2007,34,1,1,1,2.82352941176471,3
"Lockheed Martin",0,1996,15,0,1.06666666666667,0,2.33333333333333,0
"Locus Energy",0,2012,10,1,1,1,2.7,3
"Lof Solar",0,2012,2,1,1,1,2,1
"Loma Linda University",0,1995,53,2,1.45283018867925,1.5,4.16981132075472,4
"Longhorn Vaccines and Diagnostics",0,2011,21,1,1,1,2.04761904761905,2
"LORDO AMERICA",0,2016,1,1,1,1,2,2
"Los Alamos National Security",1,2006,536,6,1.19402985074627,1.33333333333333,3.98320895522388,3.33333333333333
"Los Angeles Biomedical Research Institute at Harbor-UCLA Medica",0,2005,0,0,1.14285714285714,1,3.53968253968254,6
"Louisiana Tech Research",0,2012,12,1,1.16666666666667,1,2.58333333333333,1
"Lovelace Respiratory Research Institute",0,1999,5,1,1.2,1,1.8,1
"LUCERA LABS",0,2016,1,1,1,1,2,2
"Lumenco",0,2015,9,1,1,1,2,1
"Lumentum Operations",0,2015,76,5,1.03947368421053,1.25,2.94736842105263,4
"Luna Innovations",0,2005,50,1,1,1,2.98,6
"Lux Bio Group",0,2015,4,1,1,1,1,1
"Lyotropic Therapeutics",0,2003,22,1,1,1,1.90909090909091,1
"Macronix Co",1.42857142857143,1992,2852,26,1.02664796633941,1,2.69740532959327,2.15384615384615
"Magna",0,1978,349,2,1.01146131805158,1,2.62177650429799,3
"Magnachip Semiconductor",0,2005,348,2,1,1,2.23563218390805,1.5
"Magnolia Optical Technologies",0,2013,9,1,1,1,2.22222222222222,4
"Magnolia Solar",0,2014,40,12,1,1.5,5.4,3
"MAHLE",0,1976,137,0,1.02919708029197,0,1.75912408759124,0
"Mainstream Engineering Corp",0,1989,91,1,1.01098901098901,1,2.79120879120879,3
"Mallinckrodt",0,1984,2,0,1,0,1,0
"Manta Instruments",0,2017,3,1,1,1,1.33333333333333,2
"MANUFACTURING RESOURCES",3,2009,105,1,1,1,1.99047619047619,4
"Marathon Equipment Company",0,1980,25,1,1,1,1.84,2
"Marine Biotech",0,2002,1,0,1,0,1,0
"Marine Polymer Technologies",1,1997,33,1,1.03030303030303,1,2.84848484848485,2
"Markel",1,1976,198,2,1.01010101010101,1,2.18686868686869,5
"Mary Hitchcock Memorial Hospital",0,2011,2,1,1,1,3,3
"Masimo Semiconductor",36,2013,4,1,1,1,3.5,5
"Massachusetts Eye and Ear Infirmary",0,1988,138,1,1.29710144927536,7,3.39855072463768,8
"Massachusetts Institute of Technology",2.47058823529412,1976,5712,62,1.16316526610644,1.59016393442623,3.42689546489231,4.70491803278689
"Materia",0,1977,37,1,1.18918918918919,1,4.32432432432432,4
"Matrix Genetics",0,2013,6,1,1,1,6.66666666666667,6
"Matrix Odyssey",0,2016,1,1,1,1,2,2
"Mattson Technology",0,1996,155,1,1.0258064516129,1,3.47741935483871,3
"Maxim Integrated Products",0,1987,1013,3,1.01085883514314,1,2.33366238894373,2
"MAXLINEAR",0,2013,1,0,1,0,2,0
"Maxout Renewables",0,2014,6,2,1,1,1,1
"Mayo Foundation for Medical Education and Research",0,1989,936,3,1.17200854700855,1.33333333333333,3.23076923076923,3
"McAlister Technologies",2,2011,144,8,1.00694444444444,1,1.05555555555556,1
"McElroy Manufacturing",0,1984,18,1,1,1,3,1
"McMaster University",0,1991,135,1,1.23703703703704,1,3.1037037037037,2
"Medgenics Medical Israel",0,2013,14,1,1,1,6.07142857142857,6
"Mediatek",0,2006,6,0,1.33333333333333,0,3.83333333333333,0
"Medical Diagnostic Laboratories",0,2010,67,1,1,1,3.59701492537313,3
"Medical Research Council",0,1989,273,1,1.35531135531136,1,3.75457875457875,2
"Medicis Pharmaceutical",0,1994,62,1,1,1,3.37096774193548,2
"MEDport",0,1978,14,1,1,1,1.5,2
"Medtronic Vascular",0,2004,575,1,1.00173913043478,1,2.7304347826087,1
"Merck Patent",1,1982,1865,12,1.028418230563,1.4,4.1769436997319,4.6
"MERCK SHARP & DOHME CORP",0,1979,1393,2,1.10871130309575,1,6.67026637868971,2
"Meso Scale Technologies",1,1998,80,1,1,1,6.1875,9
"Metabolix",0,1997,149,3,1.08053691275168,1,3.42953020134228,2.33333333333333
"Meyer Tool",0,1998,9,1,1,1,1.44444444444444,1
"Michelin Recherche et Technique SA",0,1982,2028,2,1.48126232741617,2,3.11834319526627,2.5
"Michigan Biotechnology Institute",1,1986,45,1,1.06666666666667,2,2.8,4
"Michigan Technological University",0,1979,54,1,1.27777777777778,1,2.59259259259259,2
"Micro Cooling Concepts",0,2016,1,1,1,1,4,4
"Microchip Technology",1,1989,719,5,1.0125173852573,1,2.37134909596662,2.6
"Microchips Biotech",0,2016,4,1,1,1,2,1
"MicroLink Devices",0,2003,16,2,1,1,3.1875,6
"MICROMIDAS",2,1983,58,1,1.03448275862069,1,3.98275862068966,6
"Micron Technology",1.2,1984,25496,64,1.00117665516159,1,1.95073737056793,2.328125
"Microsemi SoC",0,1978,36,1,1,1,2.30555555555556,1
"MICROSOFT TECHNOLOGY LICENSING",6,2014,7831,8,1,1,4.02988124122079,3.125
"Microsurge",0,1988,60,1,1,1,1.65,1
"Midori USA",1,2015,3,1,1,1,3.33333333333333,4
"Midrex Technologies",4,1998,70,1,1.02857142857143,1,2.72857142857143,3
"MIETAMARK GENETICS",0,2016,1,1,1,1,4,4
"MILLENIUM SYNTHFUELS",0,2016,7,1,1,1,2.42857142857143,2
"Milliken & Company",0,1999,856,1,1.0035046728972,1,2.68341121495327,1
"Minebea Co",0,1998,4,0,1,0,1.25,0
"Mission Product Holdings",0,2014,2,1,1,1,3,3
"Mississippi State University Research and Technology",0,2007,11,2,1,2,3.36363636363636,6
"Mitsubishi Electric",1.11111111111111,1976,7545,46,1.02624254473161,1,2.91013916500994,2.89130434782609
"Mitsubishi Metal",1,1976,2136,6,1.17462546816479,1.33333333333333,3.76732209737828,5.83333333333333
"Mitsubishi Polyester Film",0,1999,177,2,1.01694915254237,1.5,3.57627118644068,5.5
"Molecular Imprints",0,2004,197,1,1.17766497461929,2,3.74111675126904,4
"Molecular Rebar Design",0,2013,14,6,1,1,2.21428571428571,2.33333333333333
"Momentive Performance Materials",0,2007,1900,16,1.02736842105263,1,7.56842105263158,3.25
"Monarch Power Corp",0,2014,3,1,1,1,3,3
"Monolithe Semiconductor",0,2013,10,1,1,1,3.1,4
"MonoSol",0,1980,5,0,1,0,2.6,0
"Monsanto Technology",2,2001,4534,14,1.13895015438906,1,2.4058226731363,5.92857142857143
"MONTEREY RESEARCH",0,2015,18,2,1,1,2.27777777777778,1.5
"Morpho",0,2003,97,1,1.12371134020619,1,4.25773195876289,5
"Moxtek",0,1999,10,0,1,0,2.4,0
"Mumetel",0,2016,1,1,1,1,2,2
"Murata Manufacturing Co",0,1977,5853,20,1.01332649923116,1.05263157894737,2.42166410387835,3.73684210526316
"Musco",1,1977,415,1,1.04096385542169,1,2.15180722891566,3
"Nagoya Institute of Technology",0,1987,29,2,1.93103448275862,1.5,4.75862068965517,3.5
"Nalco Company",1,1986,388,2,1.01288659793814,1,2.92783505154639,3
"Nanao",0,1986,18,1,1.05555555555556,1,3.16666666666667,4
"NANO CELL SYSTEMS",0,2016,1,1,1,1,2,2
"Nano Technics Company",0,2014,2,1,2,2,8,4
"NANOBIO",0,2010,9,1,1,1,4.66666666666667,4
"nanoComposix",12.5,2014,5,3,1.4,1.66666666666667,4.8,3.66666666666667
"Nanocopocia",0,2016,1,1,1,1,2,2
"NanoGram",0,1999,85,7,1,1.4,3.54117647058824,3.2
"Nanoholdings",0,2013,10,2,2,2,7,4
"NanoLab",0,2002,1,0,1,0,2,0
"NanoOncology",0,2016,1,2,1,2,3,6
"NANOPHARMACEUTICALS",3,2014,11,2,1,1,2.90909090909091,3.5
"NANOPHTHALMICS",0,2016,1,1,1,1,5,5
"Nanoquantum Sciences",0,2014,5,1,1,1,3,3
"Nanoridge Materials",0,2011,4,1,1,1,3.25,4
"Nanospectra Biosciences",2,2008,3,1,1.33333333333333,2,3.33333333333333,4
"Nanostatics",0,2012,3,1,1,1,2.66666666666667,3
"Nanosys",7,1996,167,1,1.02994011976048,1,4.52694610778443,4
"Nanotech Biomachines",0,2016,2,2,1,1,2,2
"NanoTech Lubricants",0,2017,1,1,1,1,3,3
"Nanotek Instruments",1.71428571428571,1999,190,17,1,1.0625,2.94736842105263,3.5625
"Nant Holdings IP",0,2012,198,1,1,1,2.28787878787879,6
"Nantero",0,1990,254,4,1.04724409448819,1,3.58661417322835,4.5
"NATIONAL APPLIED RESEARCH LABORATORIES",0,2005,150,4,1.10666666666667,1,4.30666666666667,5.5
"National Cheng Kung University",1,2002,1972,48,1.04471544715447,1.18181818181818,6.26829268292683,4.54545454545455
"National Health Research Institutes",1,2000,126,1,1.23015873015873,2,4.37301587301587,8
"NATIONAL INSTITUTE FOR MATERIALS SCIENCE",0,2002,378,5,1.4021164021164,1.5,4.07936507936508,2.75
"National Institute of Information and Communications Technology",0,2004,0,0,1,0,3,0
"National Institutes of Health",0,1989,91,2,2.10989010989011,4,5.53846153846154,10
"National Security Agency",1,1999,10,1,1.7,2,6.3,5
"National Sun Yat-Sen University",0,2004,188,4,1.23936170212766,1,3.88829787234043,2.5
"Nationwide Children's Hospital",1,2009,40,1,1.35,1,3.775,4
"NCC Nano",1,2010,20,1,1.05,1,3.4,8
"NDSU Research Foundation",1,1992,94,2,1.07446808510638,1,3.20212765957447,3.5
"NEC",0,1986,11,0,1,0,1.18181818181818,0
"Nederlandse Organisatie voor toegepast-natuurwetenschappelijk o",0,1998,0,0,1,0,4,0
"NeoPhotonics",0,2008,2,0,1,0,2,0
"NeoVision",0,2005,4,1,1,1,1.75,2
"NetApp",0,2008,1682,5,1.00059453032105,1,2.79607609988109,2.6
"Neumedicines",0,2014,9,1,1,1,1.33333333333333,1
"NeuMoDx Molecular",4,2015,14,2,1,1,2.85714285714286,4
"Neural Signals",0,2007,3,1,1,1,1.33333333333333,2
"Neutronic Perpetual Innovations",4,2013,6,1,1,1,1,1
"New England Biolabs",1,1990,260,2,1.03076923076923,1,3.04615384615385,4.5
"New Jersey Institute of Technology",62,1989,292,8,1.07534246575342,1.14285714285714,2.53424657534247,2.57142857142857
"New Technology Ventures",0,2010,5,1,1,1,1.6,2
"New York University",1,1980,1087,10,1.18307267709292,1.1,2.91804788213628,3.1
"Newdoll Enterprises",0,2010,5,1,1,1,2,2
"NEWFIELD THERAPEUTICS",0,2016,2,1,1,1,3,3
"Newlans",13,2012,14,1,1.07142857142857,1,2.14285714285714,4
"Newport",0,1984,123,1,1,1,2.07317073170732,4
"Nexcom Technology",0,1995,1,0,1,0,2,0
"NGK Spark Plug Co",0,1976,2168,2,1.03367158671587,1,2.90913284132841,4
"NICHIA",0,1982,2056,14,1.10992217898833,1,2.62743190661479,2.42857142857143
"Nippon Chemi-Con",2,1984,114,6,1.16666666666667,1.2,3.66666666666667,5.4
"Nippon Shokubai Co",1,1976,1543,2,1.08230719377835,1.5,3.66817887232664,1
"Nissan Motor Co",0,1976,8675,3,1.14397694524496,1.33333333333333,2.69471985243256,5.33333333333333
"Nissan North America",0,2009,494,2,1.02024291497976,1,2.3663967611336,2.5
"nLIGHT",0,1997,42,1,1,1,2.5,3
"nLIGHT Photonics",0,2003,47,1,1,1,2.80851063829787,1
"NLT TECHNOLOGIES",0,1996,3,0,1.33333333333333,0,1.66666666666667,0
"NOK",2,1982,8456,7,1.03831598864711,1,2.01052507095553,2.57142857142857
"Nokia",0,1999,91,0,1,0,2.54945054945055,0
"Nokomis",0,2009,20,2,1,1,1.95,2
"Nordic Technologies",0,1999,5,1,1,1,2.6,3
"Nordson",0,1976,1465,1,1,1,2.46006825938567,3
"North Carolina State University",1,1979,1015,5,1.19014778325123,1.4,3.19014778325123,2.8
"Northrop Grumman Systems",2,2004,652,10,1.02300613496933,1.1,2.83588957055215,4.1
"Northwest Biotherapeutics",0,1999,13,1,1,1,3.30769230769231,3
"NOVA Chemicals (International) SA",0,2000,204,3,1.00980392156863,1,3.77941176470588,5.33333333333333
"Novartis AG",0,2006,1,0,1,0,3,0
"NovaSolix",0,2015,5,1,1,1,1.4,1
"Novellus Systems",4.66666666666667,1992,929,5,1.01722282023681,1,3.78256189451023,1.8
"Novon",0,1998,2,0,1,0,2,0
"Novozymes",0,2005,305,2,1.25573770491803,1,4.2983606557377,2
"Novozymes A/S",1,2001,880,2,1.17613636363636,1,4.43522727272727,3.5
"Novozymes North America",0,2001,53,1,1.81132075471698,1,7.84905660377358,4
"Novus Energy",0,2007,3,1,1,1,3.66666666666667,3
"Novus Technology",0,2016,2,2,1,1,2.5,2.5
"Nthdegree Technologies Worldwide",2,2010,92,6,1.07608695652174,1,4.32608695652174,4
"NuOrtho Surgical",0,2009,16,1,1,1,2.0625,2
"Nutech Ventures",0,2010,62,1,1.08064516129032,1,2.82258064516129,3
"Nvidia",0,1999,9,0,1,0,2.88888888888889,0
"NXP USA",0,2016,802,2,1.00124688279302,1,2.65211970074813,1
"OAS Design Group",0,2016,1,1,1,1,1,1
"Oceanit Laboratories",0,1996,38,1,1,1,2.52631578947368,2
"Oculus VR",0,2014,1,0,1,0,4,0
"OFS Fitel",0,2004,1,0,1,0,4,0
"OHIO STATE INNOVATION FOUNDATION",0,2015,103,4,1.10679611650485,1,3.12621359223301,2.25
"Ojai Retinal Technology",0,2015,5,1,1,1,2.8,3
"Oki Data",0,1978,1661,2,1.00421432871764,1,1.51294400963275,3
"OLYMPUS",0,1977,5280,1,1.06117424242424,1,2.18996212121212,1
"Olympus NDT",1,2008,64,1,1,1,1.890625,1
"OmniVision Technologies",1,1998,790,8,1.0379746835443,1,2.8620253164557,4.125
"Omron",0,1977,2590,6,1.04671814671815,1.5,3.00965250965251,4.33333333333333
"One Earth Designs",1,2016,2,1,1,1,7,7
"Opel Solar",2,2015,26,6,2,2,2.07692307692308,1
"OPTERRA ENERGY SERVICES",0,2015,6,1,1,1,1.66666666666667,1
"Optodot",0,2003,21,1,1.14285714285714,1,1.9047619047619,1
"Oracle",1,2002,5737,2,1.00069722851665,1,3.11713439079658,4.5
"OrbusNeich Medical",0,2007,44,2,1,1,2.77272727272727,3
"Oregon Health & Science University",0,1991,326,1,1.46319018404908,2,4.39877300613497,4
"Oregon State University",0,1991,56,2,1.48214285714286,1,4.17857142857143,3.5
"Ormat Technologies",0,1992,77,6,1,1,2.22077922077922,1.33333333333333
"Ormet Circuits",0,2004,7,1,1.14285714285714,1,3.42857142857143,5
"Ortho-Clinical Diagnostics",0,1999,122,1,1.04098360655738,1,3.35245901639344,3
"OSI Optoelectronics",0,2011,24,1,1,1,2.125,3
"Osram Sylvania",0,1993,1314,4,1.00989345509893,1,2.4634703196347,2
"Ostendo Technologies",0,1998,44,2,1,1,4.43181818181818,4.5
"OTSUKA PHARMACEUTICAL CO",0,1976,619,2,1.1389337641357,2,5.06462035541195,10
"Ovonic Battery Company",0,1992,113,1,1,1,4.14159292035398,6
"Owens-Brockway Glass Container",0,1990,366,1,1.00273224043716,1,2.33060109289617,2
"PACCAR",0,1976,721,1,1.01386962552011,1,2.83356449375867,2
"Pacific Biosciences of California",1.5,2007,246,16,1.00406504065041,1,4.07317073170732,3.3125
"Pacific Industrial Development",1,2016,2,1,1,1,3,3
"Palo Alto Research Center",1.5,2003,1504,11,1.0498670212766,1.09090909090909,3.25,4
"Panasonic Intellectual Property Management Co",1.46153846153846,2014,5009,91,1.00039928129367,1,2.81473347973647,2.64835164835165
"Panasonic Intellectual Property of America",0,2015,2,0,1,0,5,0
"Paratek Pharmaceuticals",0,2002,68,3,1.16176470588235,1,5.86764705882353,3.33333333333333
"Pardev",0,2016,1,1,1,1,1,1
"Parion Sciences",3,2005,69,1,1,1,2.07246376811594,3
"Parker-Hannifin",0,1981,32,0,1.03125,0,2.3125,0
"PDF Solutions",0,2010,3,0,1,0,2.33333333333333,0
"Pegatron",0,2013,1,0,1,0,3,0
"Peking University",1,1990,212,8,1.66981132075472,1.125,4.29716981132075,4.375
"Pelican Imaging",21,2012,86,1,1,1,2.93023255813953,3
"PELLION TECHNOLOGIES",0,2013,11,2,1,1,5.36363636363636,9
"Pendar Technologies",2,2016,4,1,1.5,2,6.5,5
"Pentair Thermal Management",0,2014,10,1,1,1,2.9,1
"Pentron Clinical Technologies",0,2003,43,1,1.04651162790698,1,1.97674418604651,2
"Perkinelmer Holdings",0,2013,5,1,1,1,1,1
"PeterBrod Corp",0,2016,1,1,1,1,1,1
"Peytant Solutions",2,2015,1,1,1,1,4,4
"Pfizer",0,1976,3978,6,1.04475735479004,1.33333333333333,3.0286648227307,5.33333333333333
"Pharmatrophix",1,2016,5,1,1,1,1.4,2
"Pharmion",0,1978,71,1,1.04225352112676,1,1.76056338028169,1
"Philip Morris USA",0,1977,612,1,1.00326797385621,1,3.40686274509804,2
"Phoseon Technology",0,2006,72,3,1,1,1.84722222222222,2.33333333333333
"Photon Dynamics",0,1989,78,1,1.02564102564103,1,2.46153846153846,1
"Piksel",1,2013,8,1,1,1,4.625,4
"Pioneer Energy",0,2009,29,1,1,1,3.62068965517241,4
"Pioneer Hi Bred",1.5,2001,1007,4,1.02681231380338,1,2.81132075471698,3.5
"Pioneer Hi-Bred",0,1979,14272,96,1.08548206278027,1.08333333333333,5.50812780269058,3.375
"Pixar",0,1989,302,3,1.01324503311258,1,2.41721854304636,1
"Pixelligent Technologies",0,2001,23,3,1,1,5,9
"Plant Sensory Systems",0,2012,6,3,1,1.5,2.33333333333333,4
"Plasma Tech Holdings",0,2017,2,1,1,1,1,1
"Plasma-Therm",0,2012,23,5,1,1,5.82608695652174,6
"PLYCEM USA",0,2016,2,1,1,1,2,1
"PNM",0,1995,40,2,1,1,3.525,6
"POET Research",1,1990,68,7,1,1,2.20588235294118,2.85714285714286
"POLAR LIGHT TECHNOLOGIES AB",0,2016,1,1,1,1,3,3
"Polaris Products",1,2016,2,1,1,1,1,1
"Poly-Med",0,1976,135,3,1.00740740740741,1,2.16296296296296,2.66666666666667
"PolyOne",0,1979,160,1,1.0625,1,2.23125,3
"PolyPlus Battery Company",5,1996,90,1,1,1,3.43333333333333,4
"Polysar",1,1976,4,1,1.25,2,3.5,7
"POSiFA MICROSYSTEMS",1,2016,4,2,1,1,1,1
"Power Integrations",0,1989,808,1,1,1,2.13737623762376,3
"Praxair ST Technology",0,1992,150,1,1.02,1,2.53333333333333,3
"Praxair Technology",0,1989,1289,1,1.01241272304112,1,2.688906128782,4
"Precision Custom Coatings",0,1994,3,1,1,1,1.66666666666667,2
"Previvo Genetics",2.5,2015,8,3,1,1,2.875,2
"Princeton Optronics",2,1976,13,2,1,1,3.53846153846154,4
"Production Resource Group",0,2002,177,1,1,1,1.69491525423729,1
"Propagation Research Associates",0,2013,7,1,1,1,1.28571428571429,2
"Prosoft",0,2000,95,2,1,1,3.01052631578947,2.5
"PTC Therapeutics",0,2001,117,2,1.07692307692308,1,5.60683760683761,4.5
"Pulse Therapeutics",1,2012,8,1,1,1,1.5,1
"Purdue Research Foundation",1,1976,1304,21,1.1978527607362,1.64705882352941,3.50460122699387,4.64705882352941
"Pyrexar Medical",0,2016,2,1,1,1,2,2
"QD Vision",1.90909090909091,2011,61,23,1.01639344262295,1.04347826086957,3.67213114754098,3.47826086956522
"Qiagen",0,1997,184,1,1.05978260869565,1,3.21739130434783,5
"QUALCOMM",1.8,1992,19519,14,1.00122957118705,1,3.09836569496388,3.14285714285714
"QUALCOMM MEMS Technologies",0,2007,590,2,1,1,2.59830508474576,3.5
"Quallion",0,2000,113,1,1.02654867256637,1,3.21238938053097,3
"Qualsig",0,2016,1,1,1,1,2,2
"Quantapore",1,2014,6,1,1,1,1.83333333333333,1
"Quantum Devices",0,1997,19,3,1,1,1.84210526315789,2.33333333333333
"Quantum Materials",0,1987,21,0,1,0,1.95238095238095,0
"QuantumScape",1,2014,27,3,1,1,4.37037037037037,2.66666666666667
"Quest Diagnostics Investments",0,2001,239,1,1.02092050209205,1,2.71548117154812,2
"QUSWAMI",0,2016,2,1,1,1,3,2
"RA Miller Industries",0,1997,32,2,1,1,2.25,5.5
"RADIANCE SOLAR",0,2015,3,1,2,2,12,12
"Rapamycin Holdings",0,2016,1,1,1,1,1,1
"Raytheon BBN Technologies Corp",0,2010,191,3,1.31937172774869,1,2.48167539267016,2
"Raytheon Company",1,1976,6161,16,1.00973867878591,1.0625,2.34539847427366,3.125
"Rebellion Photonics",3,2017,5,1,1,1,2,2
"Red Hat",0,2004,1655,1,1,1,1.65075528700906,1
"Redwood Systems",1,2011,25,1,1,1,2.36,2
"Regeneron Pharmaceuticals",2.4375,1992,485,33,1.08865979381443,1.15151515151515,4.21855670103093,5.24242424242424
"Regents of the University of Minnesota",1,1976,1434,8,1.19246861924686,1.25,3.11087866108787,3.5
"Reliance Controls",0,1999,106,1,1,1,1.40566037735849,1
"Relypsa",2,2008,30,1,1,1,6,10
"Renesas Electronics",1.38,2010,5718,230,1.04162294508569,1.00434782608696,2.45103182931095,2.87826086956522
"Renewable Algal Energy",0,2012,4,1,1.75,1,5.25,3
"Renewable Opportunities",0,2016,2,1,1,1,5,5
"Renewable Power Conversion",1,2012,16,2,1,1,1,1
"RenovaCare Sciences Corp",1,2016,2,1,1,1,1,1
"RES USA",0,2014,32,2,1,1,5.09375,2.5
"Research Development Foundation",1,1991,254,4,1.01181102362205,1,2.81496062992126,2.5
"Research Foundation of State University of New York",0,1980,1124,2,1.12811387900356,1,2.83540925266904,5.5
"Research Foundation of the City University of New York",1,1980,189,4,1.24867724867725,1.25,2.91005291005291,3.5
"Research Triangle Institute",0,1977,261,2,1.15325670498084,1,3.40613026819923,4
"Revera",0,2004,21,1,1,1,3.19047619047619,4
"Revivicor",0,2010,4,1,1,1,1.75,2
"Reynolds Technologies",0,2007,6,1,1,1,3.33333333333333,3
"RF Micro Devices",0,1997,622,1,1.0016077170418,1,2.53215434083601,3
"Rhode Island Hospital",0,1978,68,1,1.16176470588235,2,2.41176470588235,5
"Rhodia Operations",0,2008,400,4,1.12,1.75,3.1525,4.5
"Richard H Sherratt and Susan B Sherratt Revocable Trust Fund",2,2016,1,1,1,1,1,1
"Richtek Technology",0,2002,581,3,1.00860585197935,1,2.74698795180723,2.66666666666667
"Rima Enterprises",0,1979,12,2,1,1,1.33333333333333,1
"RINAT NEUROSCIENCE CORP",0,2007,36,1,1.27777777777778,1,5.75,4
"Rio Grande Valley Sugar Growers",0,2017,1,1,1,1,1,1
"Riverbed Technology",0,2006,204,2,1,1,3.04411764705882,3
"RJ Reynolds Tobacco Company",0,1978,246,3,1.00813008130081,1,3.42682926829268,1.66666666666667
"Robert Bosch",0,1987,175,0,1.01142857142857,0,2.30285714285714,0
"Roche Diabetes Care",0,2015,210,1,1.02857142857143,1,3.37142857142857,2
"Roche Diagnostics",0,1999,332,1,1.0421686746988,1,3.56325301204819,1
"Roche Innovation Center Copenhagen A/S",3,2015,17,1,1,1,5.41176470588235,9
"Roche Molecular Systems",0,1997,369,1,1.04878048780488,1,3.33062330623306,4
"Rockwell Automation Technologies",0,2001,1894,1,1.00422386483633,1,3.51742344244984,3
"Rockwell Collins",1,1999,1768,3,1.00339366515837,1,2.51809954751131,4
"Rohm and Haas Chemicals",0,2016,2,1,2,2,5,4
"Rohm and Haas Company",1,1976,2878,5,1.06011118832523,1.4,2.86930830726451,2.2
"Rohm and Haas Electronic Materials",2,2005,543,8,1.19512195121951,1.375,4.87992495309568,3.75
"Roho",0,1987,2,0,1,0,3,0
"Roll-N-Lock",0,2003,1,0,1,0,1,0
"Rolls-Royce North American Technologies",0,2006,204,1,1.27941176470588,1,2.37254901960784,2
"Rolls-Royce PLC",0,1978,2533,1,1.02210817212791,1,1.93407027240426,1
"ROM",5,1976,518,1,1.01351351351351,1,2.05405405405405,3
"Rosemount Aerospace",3,1994,284,1,1.02464788732394,1,2.45422535211268,2
"RP Scherer Technologies",0,2002,61,1,1.09836065573771,1,3.26229508196721,2
"Rush University Medical Center",0,2006,54,1,1.14814814814815,1,2.38888888888889,1
"S C Johnson & Son",1,1976,909,2,1.002200220022,1,2.58305830583058,3.5
"S&S X-Ray Products",0,1998,24,1,1,1,1.45833333333333,5
"SABIC GLOBAL TECHNOLOGIES BV",1,2014,410,6,1.05121951219512,1,3.3780487804878,4.33333333333333
"SAE Magnetics (HK)",0,1998,723,2,1.40525587828492,1,5.15629322268326,1.5
"SAINT-GOBAIN ABRASIFS",0,2003,394,1,1.03720930232558,1,3.33023255813953,5
"Saint-Gobain Adfors Canada",0,2012,17,1,1,1,2.76470588235294,2
"Saint-Gobain Performance Plastics",0,2000,216,1,1.01421800947867,1,3.01895734597156,2
"Samsung Corning Precision Materials Co",0,2011,59,1,1.11864406779661,1,5.57627118644068,4
"SAMSUNG DISPLAY CO",1.15,2009,10204,152,1.02440219521756,1.08552631578947,3.65131321050568,4.78289473684211
"Samsung Electronics",0,2001,2,0,2,0,4.5,0
"Samsung Electronics Co",1.85714285714286,1984,82333,275,1.03600724276635,1.12043795620438,3.03689436012104,4.23357664233577
"Samsung SDI Co",0,2001,5684,16,1.10767065446868,1,3.05577058409571,4.6875
"Sandia",0,2000,1,0,1,0,3,0
"SanDisk 3D",3.5,2006,667,4,1.25787106446777,1.5,3.18140929535232,2.75
"SanDisk Technologies",4.76,1996,2290,39,1.00262008733624,1,3.17336244541485,3.8974358974359
"Sanford-Burnham Medical Research Institute",2,2010,84,1,1.41666666666667,1,4.28571428571429,1
"Sangamo BioSciences",1,2002,159,10,1.13836477987421,1.2,4.54088050314465,4.4
"Sanken Electric Co",0,1977,564,4,1.06737588652482,1,1.99822695035461,1.75
"Sanofi",0,1982,891,3,1.06172839506173,1.66666666666667,4.55892255892256,7.33333333333333
"Santa Clara University",0,2010,12,1,1.66666666666667,1,7.91666666666667,4
"Santoku",0,1995,41,1,1.1219512195122,2,2.8780487804878,3
"Sanyo Electric Co",0,1976,8302,1,1.18935196338232,2,2.9838593110094,6
"SAP SE",0,2014,1736,1,1.00633640552995,1,3.00345622119816,8
"Sarepta Therapeutics",1,2013,51,5,1.13725490196078,1,3.2156862745098,3
"SB ENERGY",0,2016,1,1,1,1,3,3
"SC Johnson & Son",0,1986,1074,1,1,1,3.91527001862197,3
"Schlumberger Technology",0,1976,6935,3,1.01081470800288,1,2.87584715212689,2.66666666666667
"Schneider Electric Solar Inverters USA",1,2014,11,1,1,1,1.36363636363636,1
"Schneider Electric USA",0,1996,441,1,1.00680272108844,1,2.37414965986395,1
"SCHOTTKY LSI",0,2015,4,1,1,1,1.25,1
"Scientific Design Company",0,1988,91,1,1.04395604395604,1,1.65934065934066,2
"SDCmaterials",6.2,2010,72,5,1,1,2.43055555555556,3.2
"SEaB Energy Holdings",1,2012,3,1,1,1,1,1
"Seagate Technology",0,1999,1,0,1,0,5,0
"SEEK THERMAL",0,2016,18,1,1,1,2.11111111111111,2
"Seetron",0,2005,8,1,1,1,3.25,2
"Seiko Epson",0,1995,7,0,1.14285714285714,0,2.14285714285714,0
"Seiko Instruments",0,1976,2090,9,1.06124401913876,1,2.44354066985646,2.11111111111111
"SEIKO NPC",0,1980,35,1,1.48571428571429,2,2.91428571428571,3
"Selas Heat Technology Company",0,2015,2,1,1,1,4,4
"Selecta Biosciences",5.5,2013,11,4,1,1,3.90909090909091,3.25
"Selkermetrics",0,2017,1,1,1,1,2,2
"SELMAN AND ASSOCIATES",1,2010,29,3,1,1,2.51724137931034,2
