"firm","lookup_firm","lookup_firm_web","firm_length","name_clnd","name_length","manual_fix","hit_url","hit_url_length","rank","matches","public","acquired_merged","Votes","Group","nano","green","synbio","count_all_ind","max_emps","size_state","sme","num_patents_all","pages","num_words","avg_words_per_page","first_year","num_patents_3","mean_assignees_all","mean_assignees_3","mean_inventors_all","mean_inventors_3"
"Conexant Systems","Conexant Systems","Conexant Systems",16,"Synaptics - Official Site",25,NA,"synaptics.com/",26,1,0,0,1,5,334,1,0,0,1,312,"FirmSize.US_MEDIUM_FIRM",1,782,37,233508,6311.02702702703,1980,1,1.00639386189258,1,2.26470588235294,2
"Easel Biotechnologies","Easel Biotechnologies","Easel Biotechnologies",21,"Easel Biotechnologies, LLC. | Pioneering strategies to ...",58,NA,"easelbio.com/",24,1,2,1,0,5,432,0,0,1,1,311,"FirmSize.US_MEDIUM_FIRM",1,3,3,7271,2423.66666666667,2015,1,1,1,3,3
"Wenger Corporation","Wenger","Wenger",6,"Wenger Corp - Official Site",27,NA,"wengercorp.com/",27,1,1,0,0,4,1445,0,1,0,1,311,"FirmSize.US_MEDIUM_FIRM",1,152,13,172255,13250.3846153846,1976,1,1,1,2.42763157894737,7
"FutureWei Technologies","FutureWei Technologies","FutureWei Technologies",22,"Huawei United States - Building a Fully Connected ...",53,NA,"huawei.com/us/",26,1,0,0,0,5,513,0,1,0,1,301,"FirmSize.US_MEDIUM_FIRM",1,1496,35,649081,18545.1714285714,2000,2,1.00868983957219,1,2.64906417112299,4.5
"The Iams Company","The Iams Company","The Iams Company",16,"Iams - Official Site",20,NA,"iams.com/",21,1,1,0,0,5,1340,1,0,0,1,300,"FirmSize.US_MEDIUM_FIRM",1,111,NA,NA,NA,1991,1,1.06306306306306,1,3.51351351351351,4
"Applied NanoStructured Solutions","Applied NanoStructured Solutions","Applied NanoStructured Solutions",32,"Applied NanoStructured Solutions - Carbon Fiber Research",56,1,"",87,2,3,0,0,0,132,1,0,0,1,295,"FirmSize.US_MEDIUM_FIRM",1,32,NA,NA,NA,2012,3,1,1,3.5625,3.66666666666667
"Applied Nanostructures","Applied Nanostructures","Applied Nanostructures",22,"Appnano - Official Site",23,NA,"appnano.com/",23,1,0,0,0,5,133,1,0,0,1,295,"FirmSize.US_MEDIUM_FIRM",1,6,29,463118,15969.5862068966,2011,1,1,1,1.66666666666667,4
"Minebea Co.","Minebea Co","Minebea Co",10,"MinebeaMitsumi Inc.",19,NA,"minebeamitsumi.com/english/",38,1,1,0,1,4,841,1,0,0,1,293,"FirmSize.US_MEDIUM_FIRM",1,1106,48,290558,6053.29166666667,1989,1,1.02622061482821,1,2.24141048824593,3
"ADMA Products","ADMA Products","ADMA Products",13,"Home [www.admaproducts.com]",27,NA,"admaproducts.com/#!",31,1,2,0,0,5,14,1,0,0,1,291,"FirmSize.US_MEDIUM_FIRM",1,7,NA,NA,NA,2003,1,1,1,3,3
"Adaptive Biotechnologies Corp.","Adaptive Biotechnologies Corp","Adaptive Biotechnologies Corp",29,"Adaptive Biotechnologies",24,NA,"adaptivebiotech.com/",32,1,2,0,0,3,62,0,0,1,1,290,"FirmSize.US_MEDIUM_FIRM",1,15,50,856341,17126.82,2015,1,1.06666666666667,1,3.6,2
"BTU International","BTU","BTU",3,"Bryan Texas Utilities - Official Site",37,1,"btutilities.com/",28,2,0,1,0,0,193,0,1,0,1,290,"FirmSize.US_MEDIUM_FIRM",1,85,49,396777,8097.48979591837,1994,1,1.07058823529412,1,1.95294117647059,1
"AgroFresh Inc.","AgroFresh","AgroFresh",9,"AgroFresh - Official Site",25,NA,"agrofresh.com/",26,1,1,0,0,5,84,0,0,1,1,284,"FirmSize.US_MEDIUM_FIRM",1,8,32,577077,18033.65625,2001,1,1,1,3.375,1
"Aseptia","Aseptia","Aseptia",7,"Aseptia - Inc.com",17,1,"",35,1,1,0,0,4,146,0,0,1,1,281,"FirmSize.US_MEDIUM_FIRM",1,24,NA,NA,NA,1998,1,1.125,2,2.79166666666667,2
"INTEVAC","INTEVAC","INTEVAC",7,"Intevac - Official Site",23,NA,"intevac.com/",24,1,1,0,0,5,641,0,1,0,1,281,"FirmSize.US_MEDIUM_FIRM",1,241,41,143994,3512.0487804878,1976,1,1.02489626556017,1,2.29460580912863,4
"McElroy Manufacturing","McElroy Manufacturing","McElroy Manufacturing",21,"McElroy - Official Site",23,NA,"mcelroy.com/",23,1,1,0,0,5,817,1,0,0,1,280,"FirmSize.US_MEDIUM_FIRM",1,18,23,307994,13391.0434782609,1984,1,1,1,3,1
"AZ Electronic Materials (Luxembourg) S.A.R.L.","AZ Electronic Materials (Luxembourg) SARL","AZ Electronic Materials (Luxembourg) SARL",41,"AZ Electronic Materials (Luxembourg) Srl: Private Company ...",61,1,"",82,1,4,0,0,0,47,1,1,1,3,279,"FirmSize.US_MEDIUM_FIRM",1,42,NA,NA,NA,2012,5,1.02380952380952,1.5,5.33333333333333,6.75
"BASF Coatings GmbH","BASF Coatings","BASF Coatings",13,"Welcome to Coatings : BASF Coatings GmbH",40,NA,"basf-coatings.com/global/ecweb/en/",45,1,2,0,0,2,175,1,0,0,1,278,"FirmSize.US_MEDIUM_FIRM",1,397,29,247491,8534.1724137931,1999,4,1.02518891687657,1.25,3.64735516372796,3
"Silicon Space Technology Corp.","Silicon Space Technology Corp","Silicon Space Technology Corp",29,"Vorago Technologies | Opening up new possibilities",50,NA,"voragotech.com/",27,1,0,0,0,3,1202,1,0,0,1,278,"FirmSize.US_MEDIUM_FIRM",1,11,13,97819,7524.53846153846,2007,2,1,1,1.54545454545455,3
"Cross Match Technologies","Cross Match Technologies","Cross Match Technologies",24,"Crossmatch - Official Site",26,NA,"crossmatch.com/",27,1,2,0,0,5,354,1,0,0,1,273,"FirmSize.US_MEDIUM_FIRM",1,74,62,1059635,17090.8870967742,2000,2,1,1,2.35135135135135,2
"Tigo Energy","Tigo Energy","Tigo Energy",11,"Tigo Energy - Official Site",27,NA,"tigoenergy.com/",27,1,2,0,0,5,1357,0,1,0,1,272,"FirmSize.US_MEDIUM_FIRM",1,53,31,364849,11769.3225806452,2009,12,1,1,2.35849056603774,2.16666666666667
"Humanetics Corporation","Humanetics","Humanetics",10,"Humanetics - Official Site",26,NA,"humaneticsatd.com/",29,1,1,0,0,5,623,1,0,0,1,262,"FirmSize.US_MEDIUM_FIRM",1,35,129,683962,5302.03100775194,1993,2,1,1,2.11428571428571,3.5
"Roche Diagnostics GmbH","Roche Diagnostics","Roche Diagnostics",17,"Accu-Chek US - Official Site",28,NA,"accu-chek.com/",26,2,0,0,0,2,1089,0,0,1,1,262,"FirmSize.US_MEDIUM_FIRM",1,468,77,734910,9544.28571428571,1999,1,1.03632478632479,1,3.47863247863248,1
"Sangamo BioSciences","Sangamo BioSciences","Sangamo BioSciences",19,"Sangamo Therapeutics, Inc. - Official Site",42,NA,"sangamo.com/",24,1,1,0,0,5,1150,0,0,1,1,260,"FirmSize.US_MEDIUM_FIRM",1,159,29,144314,4976.34482758621,2002,10,1.13836477987421,1.2,3.79874213836478,4.4
"Complete Genomics","Complete Genomics","Complete Genomics",17,"Complete Genomics - Official Site",33,NA,"completegenomics.com/",32,1,2,0,0,5,332,1,0,0,1,255,"FirmSize.US_MEDIUM_FIRM",1,50,16,297689,18605.5625,2008,2,1,1,2.1,1.5
"Veracyte","Veracyte","Veracyte",8,"Veracyte",8,NA,"veracyte.com/",25,1,1,0,0,5,1424,0,0,1,1,255,"FirmSize.US_MEDIUM_FIRM",1,4,28,149793,5349.75,2013,1,1,1,5.25,4
"George Mason Research Foundation","George Mason Research Foundation","George Mason Research Foundation",32,"Research | George Mason",23,NA,"www2.gmu.edu/research",29,1,3,0,0,4,556,1,0,0,1,252,"FirmSize.US_MEDIUM_FIRM",1,23,70,793020,11328.8571428571,2013,1,1.1304347826087,1,3.56521739130435,8
"PLYCEM USA","PLYCEM USA","PLYCEM USA",10,"Allura USA - Official Site",26,NA,"allurausa.com/",22,1,1,0,0,5,971,0,0,1,1,250,"FirmSize.US_MEDIUM_FIRM",1,2,18,524429,29134.9444444444,2016,1,1,1,2,1
"Sharp Kabushiki Kaisha","Sharp Kabushiki Kaisha","Sharp Kabushiki Kaisha",22,"SHARP KABUSHIKI KAISHA - Patent applications",44,1,"",67,2,3,1,0,0,1181,1,1,0,2,249,"FirmSize.EU_MEDIUM_FIRM",1,19722,NA,NA,NA,1976,59,1.06297535746882,1.21818181818182,2.73952945948687,4.41818181818182
"Supremex Inc.","Supremex","Supremex",8,"Envelopes, packaging, labels and specialty products | SupremeX",62,NA,"supremex.com/",25,1,1,1,0,5,1274,0,1,0,1,249,"FirmSize.EU_MEDIUM_FIRM",1,4,76,534009,7026.43421052632,1993,1,1,1,1.75,3
"Mitsubishi Polyester Film","Mitsubishi Polyester Film","Mitsubishi Polyester Film",25,"Mitsubishi Polyester Film - Language Selection",46,NA,"m-petfilm.com/",26,1,3,0,0,5,847,0,1,0,1,246,"FirmSize.EU_MEDIUM_FIRM",1,212,1,3258,3258,1999,2,1.02358490566038,1.5,3.2688679245283,5.5
"Lovelace Respiratory Research Institute","Lovelace Respiratory Research Institute","Lovelace Respiratory Research Institute",39,"Lovelace Respiratory Research Institute - LRRI",46,NA,"lrri.org/",17,1,4,1,0,5,777,0,0,1,1,240,"FirmSize.EU_MEDIUM_FIRM",1,5,12,124450,10370.8333333333,1999,1,1.2,1,1.8,1
"RES USA","RES USA","RES USA",7,"Value-Added Construction Services | RES Contractors, LLC",56,NA,"res-usa.com/",24,1,1,0,0,5,1057,0,1,1,2,233,"FirmSize.EU_MEDIUM_FIRM",1,29,16,89592,5599.5,2014,2,1,1,5.37931034482759,2.5
"Haier US Appliance Solutions","Haier US Appliance Solutions","Haier US Appliance Solutions",28,"Haier US Appliance Solutions, Inc.: Private Company ...",55,1,"",80,1,4,0,0,0,597,1,0,0,1,230,"FirmSize.EU_MEDIUM_FIRM",1,178,NA,NA,NA,2016,1,1,1,2.02247191011236,2
"Soraa","Soraa","Soraa",5,"Soraa - Official Site",21,NA,"soraa.com/",22,1,1,0,0,5,1242,0,1,0,1,228,"FirmSize.EU_MEDIUM_FIRM",1,162,53,759481,14329.8301886792,1978,3,1.01234567901235,1,2.66666666666667,4.33333333333333
"Soraa Laser Diode","Soraa Laser Diode","Soraa Laser Diode",17,"SLD Laser  The Future of Light Delivered",40,NA,"soraalaser.com/",23,1,1,0,0,5,1243,1,0,0,1,228,"FirmSize.EU_MEDIUM_FIRM",1,72,9,38090,4232.22222222222,2014,5,1,1,3.27777777777778,3
"Antaya Technologies Corporation","Antaya Technologies","Antaya Technologies",19,"Antaya Technologies - Official Site",35,NA,"antaya.com/",23,1,2,0,0,5,125,0,1,0,1,225,"FirmSize.EU_MEDIUM_FIRM",1,41,15,56740,3782.66666666667,2000,1,1,1,2.31707317073171,3
"Lion Copolymer Geismar","Lion Copolymer Geismar","Lion Copolymer Geismar",22,"Lion Elastomers - Official Site",31,NA,"lionelastomers.com/",30,1,1,0,0,5,767,0,0,1,1,224,"FirmSize.EU_MEDIUM_FIRM",1,22,1,2316,2316,2014,2,1,1,3.59090909090909,3
"Bend Research","Bend Research","Bend Research",13,"Bend, Oregon, USA | Capsugel",28,NA,"capsugel.com/locations/bend-oregon-usa",50,1,1,0,0,2,211,1,0,0,1,223,"FirmSize.EU_MEDIUM_FIRM",1,149,67,648070,9672.68656716418,1976,2,1,1,3.64429530201342,2
"Universal Display Corporation","Universal Display","Universal Display",17,"Homepage - Universal Display Corporation",40,NA,"oled.com/",17,1,2,0,0,5,1405,1,0,0,1,222,"FirmSize.EU_MEDIUM_FIRM",1,386,24,136231,5676.29166666667,2002,1,1.12435233160622,1,3.72538860103627,7
"Moxtek","Moxtek","Moxtek",6,"Moxtek - Official Site",22,NA,"moxtek.com/",18,1,1,0,0,5,857,1,0,0,1,220,"FirmSize.EU_MEDIUM_FIRM",1,103,61,2216793,36340.868852459,1978,1,1.06796116504854,2,2.88349514563107,7
"UCB Pharma S.A.","UCB Pharma SA","UCB Pharma SA",13,"UCB | Inspired by patients. Driven by science.",46,NA,"ucb.com/",20,1,1,0,0,5,1389,0,0,1,1,220,"FirmSize.EU_MEDIUM_FIRM",1,169,114,822916,7218.56140350877,2007,2,1.01775147928994,1,4.29585798816568,3
"Interface Performance Materials","Interface Performance Materials","Interface Performance Materials",31,"Products :: Interface Performance Materials",43,NA,"interfacematerials.com/products/",43,1,3,0,0,1,676,1,0,0,1,219,"FirmSize.EU_MEDIUM_FIRM",1,3,86,684287,7956.82558139535,2016,1,1,1,2,2
"Inventus Holdings","Inventus Holdings","Inventus Holdings",17,"Inventus Holdings, LLC",22,NA,"inventusholdings.com/",32,1,2,1,0,5,684,0,1,0,1,219,"FirmSize.EU_MEDIUM_FIRM",1,11,1,1184,1184,2014,1,1,1,3.27272727272727,6
"Lextar Electronics Corp.","Lextar Electronics Corp","Lextar Electronics Corp",23,"Lextar ",7,NA,"lextar.com/?sn=32&lang=en-US",39,1,1,0,0,4,762,1,0,0,1,216,"FirmSize.EU_MEDIUM_FIRM",1,247,43,191351,4450.02325581395,2010,1,1.01214574898785,1,2.36437246963563,3
"DuPont Teijin Films U.S. Limited Partnership","DuPont Teijin Films US Limited Partnership","DuPont Teijin Films US Limited Partnership",42,"DuPont Teijin Films - Top Global Producers of PET & PEN ...",59,NA,"usa.dupontteijinfilms.com/",34,1,3,0,0,1,413,1,0,0,1,213,"FirmSize.EU_MEDIUM_FIRM",1,66,45,186419,4142.64444444444,2001,2,1.01515151515152,1,2.78787878787879,2
"Renewable Power Conversion","Renewable Power Conversion","Renewable Power Conversion",26,"RPC | Renewable Power Conversion",32,NA,"rpcincorporated.com/",31,1,3,0,0,5,1073,0,1,0,1,212,"FirmSize.EU_MEDIUM_FIRM",1,16,10,36077,3607.7,2012,2,1,1,1,1
"Ajinomoto Althea","Ajinomoto Althea","Ajinomoto Althea",16,"Aji Bio-Pharma | Home",21,NA,"ajibio-pharma.com/",26,1,0,0,0,5,85,0,0,1,1,210,"FirmSize.EU_MEDIUM_FIRM",1,4,16,33726,2107.875,2015,1,1,1,5.25,3
"Christie Digital Systems","Christie Digital Systems","Christie Digital Systems",24,"Audio Visual Solutions | Christie",33,NA,"christiedigital.com/en-us/",38,1,1,0,0,5,315,1,0,0,1,210,"FirmSize.EU_MEDIUM_FIRM",1,91,50,937778,18755.56,2001,1,1,1,1.96703296703297,2
"Teledyne Scientific & Imaging","Teledyne Scientific & Imaging","Teledyne Scientific & Imaging",29,"Teledyne Scientific and Imaging",31,NA,"teledyne-si.com/",27,1,3,0,0,4,1319,1,0,0,1,210,"FirmSize.EU_MEDIUM_FIRM",1,136,49,813907,16610.3469387755,2009,1,1.02205882352941,1,2.85294117647059,4
"GlassPoint Solar","GlassPoint Solar","GlassPoint Solar",16,"GlassPoint Solar - Official Site",32,NA,"glasspoint.com/",27,1,2,0,0,5,562,0,1,0,1,205,"FirmSize.EU_MEDIUM_FIRM",1,9,NA,NA,NA,2014,3,1,1,2.55555555555556,3
"L-3 Communications Cincinnati Electronics Corporation","L-3 Communications Cincinnati Electronics","L-3 Communications Cincinnati Electronics",41,"L3 Space & Sensors - Cincinnati",31,NA,"cinele.com/",23,1,3,0,0,4,743,1,0,0,1,202,"FirmSize.EU_MEDIUM_FIRM",1,17,4,9604,2401,2006,1,1,1,2.47058823529412,2
"HTS","HTS","HTS",3,"HTS | Commercial & Industrial HVAC Systems, Parts ...",53,NA,"htstechnologies.com/",20,2,1,0,0,0,595,1,0,0,1,200,"FirmSize.EU_MEDIUM_FIRM",1,18,17,51147,3008.64705882353,1991,1,1.05555555555556,1,1.83333333333333,4
"Codexis","Codexis","Codexis",7,"Codexis - Official Site",23,NA,"codexis.com/",24,1,1,0,0,5,324,0,1,1,2,199,"FirmSize.EU_MEDIUM_FIRM",1,211,23,169680,7377.39130434783,1996,2,1.02369668246445,1,5.46445497630332,6.5
"Aerogen","Aerogen","Aerogen",7,"High performance aerosol drug delivery | Aerogen",48,NA,"aerogen.com/",24,1,1,0,0,5,77,1,0,0,1,198,"FirmSize.EU_MEDIUM_FIRM",1,77,31,239492,7725.54838709677,1998,1,1.01298701298701,1,2.8961038961039,2
"MonoSol","MonoSol","MonoSol",7,"MonoSol - Official Site",23,NA,"monosol.com/",24,1,1,0,0,5,853,1,0,0,1,198,"FirmSize.EU_MEDIUM_FIRM",1,59,32,209796,6556.125,1980,2,1.06779661016949,1.5,3.27118644067797,2.5
"Newlans","Newlans","Newlans",7,"Newlans Broadband Analog CMOS",29,NA,"newlans.com/",23,1,1,0,0,5,911,1,0,0,1,197,"FirmSize.EU_MEDIUM_FIRM",1,14,9,23136,2570.66666666667,2012,1,1.07142857142857,1,2,4
"Bisco","Bisco","Bisco",5,"bisco industries - Official Site",32,NA,"biscoind.com/",25,1,1,1,0,5,230,0,0,1,1,195,"FirmSize.EU_MEDIUM_FIRM",1,42,52,1180563,22703.1346153846,1984,1,1.02380952380952,1,2.5,1
"Kulite Semiconductor Products","Kulite Semiconductor Products","Kulite Semiconductor Products",29,"Kulite - Official Site",22,NA,"kulite.com/",23,1,1,0,0,5,741,1,0,0,1,195,"FirmSize.EU_MEDIUM_FIRM",1,329,44,223993,5090.75,1976,1,1,1,2.20060790273556,2
"Dymax Corporation","Dymax","Dymax",5,"Dymax Corporation - Official Site",33,NA,"dymax.com/",18,1,1,0,0,5,414,0,0,1,1,191,"FirmSize.EU_MEDIUM_FIRM",1,49,79,2192645,27755,1978,2,1,1,2,3
"Midrex Technologies","Midrex Technologies","Midrex Technologies",19,"Midrex | Direct Reduction Ironmaking Technologies | MIDREX",58,NA,"midrex.com/",23,1,2,0,0,5,839,1,0,0,1,186,"FirmSize.EU_MEDIUM_FIRM",1,76,55,220652,4011.85454545455,1993,1,1.03947368421053,1,2.78947368421053,3
"D-Wave Systems Inc.","D-Wave Systems","D-Wave Systems",14,"D-Wave Systems",14,NA,"dwavesys.com/",25,1,3,0,0,5,365,1,0,0,1,184,"FirmSize.EU_MEDIUM_FIRM",1,169,30,361374,12045.8,1984,1,1.01183431952663,1,3.01775147928994,7
"Advanced Technology Materials","Advanced Technology Materials","Advanced Technology Materials",29,"Advanced Technology Materials, Inc.: Private Company ...",56,1,"",81,1,3,0,0,0,74,1,0,0,1,182,"FirmSize.EU_MEDIUM_FIRM",1,730,NA,NA,NA,1976,1,1.05342465753425,1,3.24246575342466,3
"IDEX Health & Science LLC","IDEX Health &#x26; Science","IDEX Health & Science",21,"IDEX Health & Science - idex-hs.com",35,NA,"idex-hs.com/",24,1,3,0,0,5,632,0,0,0,0,181,"FirmSize.EU_MEDIUM_FIRM",1,37,111,1908105,17190.1351351351,2009,2,1,1,2.27027027027027,2
"Zephyr Energy Systems LLC","Zephyr Energy Systems","Zephyr Energy Systems",21,"Zephyr Energy | Windbeam | | Zephyr Energy Corporations ...",59,NA,"zephyrenergy.com/",24,1,2,0,0,5,1471,0,1,0,1,179,"FirmSize.EU_MEDIUM_FIRM",1,1,6,10160,1693.33333333333,2016,1,1,1,2,2
"Agena Bioscience","Agena Bioscience","Agena Bioscience",16,"Agena Bioscience - Official Site",32,NA,"agenabio.com/",20,1,2,0,0,5,79,1,0,0,1,177,"FirmSize.EU_MEDIUM_FIRM",1,10,44,215159,4889.97727272727,2014,1,1,1,2.7,2
"Singulex","Singulex","Singulex",8,"Singulex EU Homepage - Singulex",31,NA,"singulexclarity.eu/",30,1,1,0,0,5,1212,1,0,0,1,177,"FirmSize.EU_MEDIUM_FIRM",1,18,18,376396,20910.8888888889,2009,1,1.33333333333333,1,4.11111111111111,1
"Turtle Beach Corporation","Turtle Beach","Turtle Beach",12,"Turtle Beach - Official Site",28,NA,"turtlebeach.com/",28,1,2,0,0,5,1381,1,0,0,1,175,"FirmSize.EU_MEDIUM_FIRM",1,29,74,891645,12049.2567567568,2014,1,1,1,2.06896551724138,1
"Egenera","Egenera","Egenera",7,"Egenera - Official Site",23,NA,"egenera.com/",24,1,1,0,0,5,440,1,0,0,1,174,"FirmSize.EU_MEDIUM_FIRM",1,24,53,330098,6228.2641509434,2005,1,1,1,4.45833333333333,3
"MONTEREY RESEARCH","MONTEREY RESEARCH","MONTEREY RESEARCH",17,"Monterey Bay Aquarium Research Institute | MBARI",48,NA,"mbari.org/",22,1,2,0,0,5,795,1,0,0,1,172,"FirmSize.EU_MEDIUM_FIRM",1,13,88,1566602,17802.2954545455,2015,2,1,1,2.38461538461538,1.5
"Synthetic Genomics","Synthetic Genomics","Synthetic Genomics",18,"Synthetic Genomics - Official Site",34,NA,"syntheticgenomics.com/",34,1,2,0,0,5,1284,0,1,1,2,169,"FirmSize.EU_MEDIUM_FIRM",1,41,12,68367,5697.25,2010,6,1,1,4,6.66666666666667
"Deep Well Power","Deep Well Power","Deep Well Power",15,"Deep Well Power LLC: Private Company Information - Bloomberg",60,1,"",82,1,3,0,0,0,386,0,1,0,1,164,"FirmSize.EU_MEDIUM_FIRM",1,1,NA,NA,NA,2016,1,1,1,1,1
"Nanosys","Nanosys","Nanosys",7,"Nanosys - Official Site",23,NA,"nanosysinc.com/",26,1,1,0,0,5,891,1,0,0,1,160,"FirmSize.EU_MEDIUM_FIRM",1,163,21,108661,5174.33333333333,1976,1,1.03067484662577,1,4.26380368098159,4
"Transilwrap Company","Transilwrap Company","Transilwrap Company",19,"Transcendia | A Leader in Custom Engineered Material",52,NA,"transcendia.com/",28,1,0,0,0,5,1370,1,0,0,1,159,"FirmSize.EU_MEDIUM_FIRM",1,22,51,341414,6694.39215686274,1985,1,1,1,1.40909090909091,2
"BCE Inc.","BCE","BCE",3,"What is the Difference Between BCE/CE and BC/AD, and Who ...",60,1,"",77,1,1,0,0,0,181,0,1,0,1,158,"FirmSize.EU_MEDIUM_FIRM",1,183,NA,NA,NA,1980,1,1.01639344262295,1,2.7431693989071,1
"Imperial Innovations Limited","Imperial Innovations Limited","Imperial Innovations Limited",28,"Imperial Innovations",20,NA,"imperialinnovations.co.uk/",38,1,2,0,0,2,650,0,0,1,1,157,"FirmSize.EU_MEDIUM_FIRM",1,106,73,405166,5550.21917808219,2006,1,1.11320754716981,1,3.06603773584906,2
"VIOLIN MEMORY","VIOLIN MEMORY","VIOLIN MEMORY",13,"Extreme Performance Enterprise Storage | Violin Systems",55,NA,"violinsystems.com/",30,1,1,0,0,5,1415,1,0,0,1,155,"FirmSize.EU_MEDIUM_FIRM",1,56,49,547860,11180.8163265306,2011,1,1,1,1.58928571428571,1
"AGFA-GEVAERT N.V.","AGFA-GEVAERT NV","AGFA-GEVAERT NV",15,"Home - Agfa Corporate",21,NA,"agfa.com/corporate/",30,1,1,0,0,5,20,1,0,0,1,153,"FirmSize.EU_MEDIUM_FIRM",1,2553,76,1107615,14573.8815789474,1976,3,1.00509204857031,1,2.73756365060713,2.33333333333333
"CUMMINS FILTRATION IP","CUMMINS FILTRATION IP","CUMMINS FILTRATION IP",21,"Select Region and Language | Cummins Filtration",47,NA,"cumminsfiltration.com/",34,1,2,0,0,5,271,1,0,0,1,153,"FirmSize.EU_MEDIUM_FIRM",1,287,60,523705,8728.41666666667,2007,1,1.01742160278746,2,4.45644599303136,6
"Bigelow Aerospace","Bigelow Aerospace","Bigelow Aerospace",17,"Bigelow Aerospace - Official Site",33,NA,"bigelowaerospace.com/",28,1,2,0,0,5,216,1,1,0,2,150,"FirmSize.EU_MEDIUM_FIRM",1,23,7,30502,4357.42857142857,2005,2,1,1,1.21739130434783,1
"Cristal USA Inc.","Cristal USA","Cristal USA",11,"Cristal - Official Site",23,NA,"cristal.com/",23,1,1,0,0,5,353,1,0,0,1,150,"FirmSize.EU_MEDIUM_FIRM",1,28,34,745078,21914.0588235294,2009,1,1,1,2.39285714285714,1
"Epizyme","Epizyme","Epizyme",7,"Epizyme - Personalized Therapeutics & The Power of Epigenetics",62,NA,"epizyme.com/",23,1,1,0,0,5,462,0,0,1,1,149,"FirmSize.EU_MEDIUM_FIRM",1,62,18,260981,14498.9444444444,2013,1,1.03225806451613,2,4.62903225806452,7
"Valicor","Valicor","Valicor",7,"Trucent  Trucent",16,NA,"trucent.com/",19,2,0,0,1,5,1418,0,1,0,1,149,"FirmSize.EU_MEDIUM_FIRM",1,17,2,14234,7117,1980,2,1,1,2.82352941176471,2.5
"Bridgelux","Bridgelux","Bridgelux",9,"Bridgelux, Inc. LED Lighting",28,NA,"bridgelux.com/",26,1,1,0,0,5,243,1,0,0,1,148,"FirmSize.EU_MEDIUM_FIRM",1,191,63,333151,5288.11111111111,2008,2,1,1,1.86910994764398,2.5
"Plasma-Therm","Plasma-Therm","Plasma-Therm",12,"Plasma-Therm Home",17,NA,"plasmatherm.com/",27,1,2,0,0,5,1018,1,0,0,1,147,"FirmSize.EU_MEDIUM_FIRM",1,24,21,72165,3436.42857142857,1986,5,1,1,5.75,6
"Nova Technologies","Nova Technologies","Nova Technologies",17,"NOVA TECHNOLOGIES - Official Site",33,NA,"novatechnologies.com/",33,1,2,0,0,5,926,1,0,0,1,145,"FirmSize.EU_MEDIUM_FIRM",1,78,17,164799,9694.05882352941,1987,1,1,1,2,1
"Scientific Design Company","Scientific Design Company","Scientific Design Company",25,"Scientific Design | Home",24,NA,"scidesign.com/",25,1,2,0,0,5,1160,0,0,1,1,144,"FirmSize.EU_MEDIUM_FIRM",1,87,11,20176,1834.18181818182,1988,1,1.04597701149425,1,1.66666666666667,2
"Ferro Corporation","Ferro","Ferro",5,"Ferro - Official Site",21,NA,"ferro.com/",22,1,1,0,0,5,493,0,1,0,1,143,"FirmSize.EU_MEDIUM_FIRM",1,404,15,111502,7433.46666666667,1976,2,1.01485148514851,1,2.77722772277228,6
"Paratek Pharmaceuticals","Paratek Pharmaceuticals","Paratek Pharmaceuticals",23,"Paratek Pharmaceuticals - Official Site",39,NA,"paratekpharma.com/",26,1,2,1,0,5,986,0,0,1,1,142,"FirmSize.EU_MEDIUM_FIRM",1,68,24,213709,8904.54166666667,2002,3,1.16176470588235,1,4.73529411764706,3.33333333333333
"SolAero Technologies Corp.","SolAero Technologies Corp","SolAero Technologies Corp",25,"SolAero Technologies Corporation: Private Company ...",53,1,"solaerotech.com",82,1,3,0,0,0,1220,0,1,0,1,141,"FirmSize.EU_MEDIUM_FIRM",1,39,33,193142,5852.78787878788,2015,8,1,1,2.79487179487179,3.25
"DHPC TECHNOLOGIES","DHPC TECHNOLOGIES","DHPC TECHNOLOGIES",17,"DHPC Technologies - Official Site",33,NA,"dhpctech.com/",24,1,2,0,0,5,369,1,0,0,1,140,"FirmSize.EU_MEDIUM_FIRM",1,2,24,143159,5964.95833333333,2016,2,1,1,3,3
"Incept LLC","Incept","Incept",6,"Incept",6,NA,"inceptresults.com/",30,1,1,0,0,3,654,0,0,1,1,140,"FirmSize.EU_MEDIUM_FIRM",1,107,18,92685,5149.16666666667,2000,3,1,1,2.91588785046729,2.66666666666667
"DiscoveRx Corporation","DiscoveRx","DiscoveRx",9,"DiscoverX Solutions for Drug Discovery",38,NA,"discoverx.com/home",26,1,1,0,0,5,401,0,0,1,1,138,"FirmSize.EU_MEDIUM_FIRM",1,30,57,735726,12907.4736842105,1987,1,1,1,2.63333333333333,3
"Roho","Roho","Roho",4,"Seating and Positioning Archives - Permobil",43,1,"",64,1,0,0,0,0,1097,1,0,0,1,138,"FirmSize.EU_MEDIUM_FIRM",1,237,NA,NA,NA,1986,1,1.0379746835443,1,2.09704641350211,3
"Astex Pharmaceuticals","Astex Pharmaceuticals","Astex Pharmaceuticals",21,"Astex - Official Site",21,NA,"astx.com/",17,1,1,0,0,5,149,0,0,1,1,136,"FirmSize.EU_MEDIUM_FIRM",1,11,47,291822,6208.97872340426,2006,2,1.27272727272727,1,4.09090909090909,2
