id,organization,thes_types,hand_edited
1212,Institut National de la Sante et de la Recherche Medicale (Inserm),Academic,
1213,Institut Pasteur,Academic,
1214,Institute for Systems Biology,Academic,
1215,Institute of Advanced Study,Academic,
1216,Instron Corporation ,Corporate,
1217,Intel Corporation,Corporate,
1218,Intellectual Keystone Technology LLC,Corporate,
1219,Intercontinental Great Brands LLC,Corporate,
1220,International AIDS Vaccine Initiative,Government,
1221,International Business Machines Corporation,Corporate,
1222,International Technology Center,Government,
1223,IntriEnergy Inc.,Corporate,
1224,Invensas Corporation,Corporate,
1225,Iogen Corporation,Corporate,
1226,Ivoclar Vivadent AG,Corporate,
1227,JAC Products Inc.,Corporate,
1228,JFE STEEL CORPORATION,Corporate,
1229,JNC Corporation,Corporate,
1230,JOLED Inc.,Corporate,
1231,JSI Equipment Solutions LLC,Corporate,
1232,JSR Corporation,Corporate,
1233,JX Nippon Mining & Metals Corporation,Corporate,
1234,John Hopkins University,Academic,
1235,Johns Hopkins Univ. ,Academic,
1236,Johns Manville,Government,
1237,Johnson Controls Technology Company,Corporate,
1238,Johnson Matthey PLC,Corporate,
1239,KINO LLC,Corporate,
1240,KJ BIOSCIENCES LLC,Corporate,
1241,KLA-Tencor Corporation,Corporate,
1242,KOREA UNIVERSITY RESEARCH AND BUSINESS FOUNDATION,Academic,
1243,KT Corporation,Corporate,
1244,KUBIX INC.,Corporate,
1245,KYOCERA DOCUMENT SOLUTIONS INC.,Corporate,
1246,Kabushiki Kaisha Eighting,Government,
1247,Kabushikikaisha Toshiba,Government,
1248,Kajima Corporation,Corporate,
1249,Kaneka Corporation,Corporate,
1250,Kansas State University Research Foundation,Academic,
1251,Kansei Corporation ,Corporate,
1252,Kao Corporation,Corporate,
1253,Karsten Manufacturing Corporation,Corporate,
1254,Katholieke Universiteit Leuven,Academic,
1255,Kawasaki Jukogyo Kabushiki Kaisha,Government,
1256,Kemira OY,Government,
1257,Kent State University,Academic,
1258,Kerr Corporation,Corporate,
1259,Kia Motors Corporation ,Corporate,
1260,Kimberly-Clark Worldwide,Government,
1261,Kinetech Power Company LLC,Corporate,
1262,King Electric Vehicles Inc.,Corporate,
1263,Kodak Alaris Inc.,Corporate,
1264,Koninklijke Philips N.V.,Government,
1265,Korea Advanced Institute of Science and Technology,Academic,
1266,Korea Institute of Science and Technology,Academic,
1267,Korea Research Institute of Bioscience and Biotechnology,Academic,
1268,Korea Research Institute of Chemical Technology,Academic,
1269,Kraton Polymers U.S. LLC,Corporate,
1270,Kronos International Inc,Corporate,
1271,Kureha Corporation,Corporate,
1272,Kyungpook National University Industry-Academic Cooperation Foundation,Academic,
1273,L-3 Communications Cincinnati Electronics Corporation,Corporate,
1274,LATITUDE PHARMACEUTICALS INC.,Corporate,
1275,LG Electronics Inc.,Corporate,
1276,LGS Innovations LLC,Corporate,
1277,LORDO AMERICA,Government,
1278,Lam Research Corporation,Corporate,
1279,Lattice Semiconductor Corporation,Corporate,
1280,Leigh University,Academic,
1281,Lextar Electronics Corp.,Corporate,
1282,Life Technologies Corporation,Corporate,
1283,LifeNet Health,Government,
1284,Linne Industries LLC,Corporate,
1285,Lintec Corporation,Corporate,
1286,Litron Laboratories Limited,Corporate,
1287,Lockheed Martin Corporation,Corporate,
1288,Lof Solar Corporation,Corporate,
1289,Loma Linda University,Academic,
1290,Los Angeles Biomedical Research Institute at Harbor-UCLA Medical Center,Academic,
1291,Louisiana Tech Research Corporation,Corporate,
1292,Lovelace Respiratory Research Institute,Academic,
1293,Lumentum Operations LLC,Corporate,
1294,Luna Innovations Incorporated,Government,
1295,MAHLE International GmbH,Corporate,
1296,MATERIALS ANALYSIS TECHNOLOGY (US) CORP.,Corporate,
1297,MERCK SHARP & DOHME CORP.,Corporate,
1298,MILLENIUM SYNTHFUELS CORPORATION,Corporate,
1299,Magna International Inc.,Corporate,
1300,Mainstream Engineering Corp.,Corporate,
1301,Marathon Equipment Company,Corporate,
1302,Marine Biotech Inc.,Corporate,
1303,Markel Corporation,Corporate,
1304,Mary Hitchcock Memorial Hospital,Government,
1305,Massachusetts Eye and Ear Infirmary ,Government,
1306,Massachusetts Institute of Technology,Academic,
1307,Maxim Integrated Products,Government,
1308,Mayo Foundation for Medical Education and Research,Academic,
1309,McMaster University,Academic,
1310,Medgenics Medical Israel Ltd.,Corporate,
1311,Mediatek Inc.,Corporate,
1312,Medical Research Council ,Academic,
1313,Medicis Pharmaceutical Corporation,Corporate,
1314,Merck Patent GmbH,Corporate,
1315,Met Tech Inc.,Corporate,
1316,Metal Industries Research & Development Centre,Academic,
1317,Michelin Recherche et Technique S.A.,Government,
1318,Michigan Biotechnology Institute,Academic,
1319,Michigan Technological University,Academic,
1320,Microchip Technology Incorporated,Government,
1321,Microsemi SoC Corporation,Corporate,
1322,Milliken & Company,Corporate,
1323,Mintera Corporation,Corporate,
1324,Mississippi State University Research and Technology Corporation,Corporate,
1325,Mitsubishi Electric Corporation,Corporate,
1326,Mitsubishi Metal Corporation,Corporate,
1327,Momentive Performance Materials GmbH,Corporate,
1328,Momentive Performance Materials Inc.,Corporate,
1329,Monarch Power Corp,Corporate,
1330,Monolithe Semiconductor Inc.,Corporate,
1331,Monsanto Technology LLC,Corporate,
1332,Musco Corporation,Corporate,
1333,NANOBIO CORPORATION,Corporate,
1334,NANOPHARMACEUTICALS LLC,Corporate,
1335,NATIONAL APPLIED RESEARCH LABORATORIES,Government,
1336,NATIONAL INSTITUTE FOR MATERIALS SCIENCE,Academic,
1337,NATIONAL TSING HUA UNIVERSITY,Academic,
1338,NDSU Research Foundation,Academic,
1339,NEC Corporation,Corporate,
1340,NEWFIELD THERAPEUTICS CORPORATION,Corporate,
1341,NICHIA CORPORATION,Corporate,
1342,NOK Corporation,Corporate,
1343,NORTHWESTERN UNIVERSITY,Academic,
1344,NOVA Chemicals (International) S.A.,Government,
1345,NOVA PANGAEA TECHNOLOGIES LIMITED,Corporate,
1346,Nagoya Institute of Technology,Academic,
1347,Nalco Company,Corporate,
1348,Nanao Corporation,Corporate,
1349,Nano Technics Company Ltd,Corporate,
1350,NanoGram Corporation,Corporate,
1351,Nanostatics Corporation,Corporate,
1352,National Cheng Kung University,Academic,
1353,National Education Corporation,Corporate,
1354,National Health Research Institutes,Government,
1355,National Institute of Information and Communications Technology (NIICT),Academic,
1356,National Institutes of Health,Government,
1357,National Research Council of Canada,Academic,
1358,National Security Agency,Government,
1359,National Sun Yat-Sen University,Academic,
1360,Nederlandse Organisatie voor toegepast-natuurwetenschappelijk onderzoek TNO,Government,
1361,NeoPhotonics Corporation,Corporate,
1362,NeoVision LLC,Corporate,
1363,Nestec S. A.,Government,
1364,New Jersey Institute of Technology,Academic,
1365,New York University,Academic,
1366,Newdoll Enterprises LLC,Corporate,
1367,Newport Corporation,Corporate,
1368,Nikon Corporation,Corporate,
1369,Nippon Chemi-Con Corporation,Corporate,
1370,Nokia Corporation,Corporate,
1371,Nokia Technologies Oy,Government,
1372,Nordson Corporation,Corporate,
1373,North Carolina State University,Academic,
1374,Northrop Grumman Systems Corporation,Corporate,
1375,Novartis AG,Corporate,
1376,Novozymes A/S,Government,
1377,Novozymes Inc.,Corporate,
1378,Novus Energy LLC,Corporate,
1379,Nthdegree Technologies Worldwide Inc.,Corporate,
1380,Nutech Ventures,Government,
1381,Nvidia Corporation,Corporate,
1382,O.B.I. Inc.,Corporate,
1383,OHIO STATE INNOVATION FOUNDATION,Academic,
1384,OLYMPUS CORPORATION,Corporate,
1385,Oki Data Corporation,Corporate,
1386,Olympus NDT,Government,
1387,Omron Corporation,Corporate,
1388,One Earth Designs Inc.,Corporate,
1389,Optodot Corporation,Corporate,
1390,Oracle International Corporation,Corporate,
1391,Oregon Health & Science University,Academic,
1392,Oregon State University,Academic,
1393,Ormat Technologies Inc.,Corporate,
1394,Osram Sylvania Inc.,Corporate,
1395,Owens-Brockway Glass Container Inc.,Corporate,
1396,PACCAR Inc,Corporate,
1397,PLEX LLC,Corporate,
1398,POLAR LIGHT TECHNOLOGIES AB,Corporate,
1399,PQ CORPORATION,Corporate,
1400,Pacific Industrial Development Corporation,Corporate,
1401,Palo Alto Research Center Incorporated,Academic,
1402,Panasonic Intellectual Property Corporation of America,Corporate,
1403,Pansonic Corporation,Corporate,
1404,Parker-Hannifin Corporation,Corporate,
1405,Pegatron Corporation,Corporate,
1406,Peking University,Academic,
1407,Pelican Imaging Corporation,Corporate,
1408,Pentair Thermal Management LLC,Corporate,
1409,PeterBrod Corp.,Corporate,
1410,Pfizer Inc.,Corporate,
1411,Pharmion Corporation,Corporate,
1412,Philip Morris USA Inc.,Corporate,
1413,Phillips 66 Company,Corporate,
1414,Pioneer Hi Bred International Inc,Corporate,
1415,Pixar,Government,
1416,Polaris Products LLC,Corporate,
1417,PolyOne Corporation,Corporate,
1418,PolyPlus Battery Company,Corporate,
1419,Polysar Corporation,Corporate,
1420,Polytechnic Institute of New York Unversity,Academic,
1421,President and Fellows of Harvard College,Academic,
1422,Proterra Inc.,Corporate,
1423,Purdue Research Foundation,Academic,
1424,Pyrexar Medical Inc.,Corporate,
1425,QUALCOMM Incorporated,Government,
1426,Qiagen GmbH,Corporate,
1427,Quallion LLC,Corporate,
1428,Qualsig Inc.,Corporate,
1429,Quantum Materials Corporation,Corporate,
1430,QuantumScape Corporation,Corporate,
1431,Quest Diagnostics Investments Incorporated,Government,
1432,R.J. Reynolds Tobacco Company,Corporate,
1433,RINAT NEUROSCIENCE CORP.,Corporate,
1434,ROM Corporation,Corporate,
1435,Raytheon BBN Technologies Corp.,Corporate,
1436,Raytheon Company,Corporate,
1437,Regents of the University of Minnesota,Academic,
1438,Reliance Controls Corporation,Corporate,
1439,Renesas Electronics Corporation,Corporate,
1440,Renewable Opportunities Inc.,Corporate,
1441,RenovaCare Sciences Corp.,Corporate,
1442,Rensselaer Polytechnic Institute (RPI),Academic,
1443,Research Development Foundation,Academic,
1444,Research Foundation of State University of New York,Academic,
1445,Research Foundation of the City University of New York,Academic,
1446,Research Triangle Institute,Academic,
1447,Rhode Island Hospital,Government,
1448,Rhodia Operations,Government,
1449,Richard H. Sherratt and Susan B. Sherratt Revocable Trust Fund,Government,
1450,Ricoh Company Limited,Corporate,
1451,Rima Enterprises,Government,
1452,Robert Bosch GmbH,Corporate,
1453,Roche Diagnostics GmbH,Corporate,
1454,Roche Innovation Center Copenhagen A/S,Government,
1455,Roche Molecular Systems,Government,
1456,Rohm and Haas Chemicals LLC,Corporate,
1457,Rohm and Haas Company,Corporate,
1458,Rohm and Haas Electronic Materials LLC,Corporate,
1459,Roll-N-Lock Corporation,Corporate,
1460,Rolls-Royce PLC,Corporate,
1461,Rosemount Aerospace Inc. ,Corporate,
1462,Rush University Medical Center,Academic,
1463,SABIC GLOBAL TECHNOLOGIES B.V.,Government,
1464,SAE Magnetics (HK) Ltd.,Corporate,
1465,SAINT-GOBAIN ABRASIFS,Government,
1466,SAP SE,Government,
1467,SEIKO NPC Corporation,Corporate,
1468,SEaB Energy Holdings Ltd.,Corporate,
1469,SHOW ME ENERGY,Government,
1470,SICPA Holding SA,Corporate,
1471,SII Semiconductor Corporation,Corporate,
1472,SK Hynix Inc.,Corporate,
1473,SOLENA FUELS CORPORATION,Corporate,
1474,STC.UNM,Government,
1475,STMicroelectronics Limited,Corporate,
1476,STMicroelectronics S.A.,Government,
1477,SUNSALUTER,Government,
1478,SYNTHOMER USA LLC,Corporate,
1479,Sagacious Investment Group L.L.C.,Government,
1480,Saint-Gobain Performance Plastics Corporation,Corporate,
1481,SanDisk 3D LLC,Corporate,
1482,SanDisk Technologies LLC,Corporate,
1483,Sandia Corporation,Corporate,
1484,Sanford-Burnham Medical Research Institute,Academic,
1485,Sanofi,Government,
1486,Santa Clara University,Academic,
1487,Santoku Corporation,Corporate,
1488,Sanuvox Technologies,Government,
1489,Schlumberger Technology Corporation,Corporate,
1490,Seagate Technology LLC,Corporate,
1491,Seetron Inc.,Corporate,
1492,Seiko Epson Corporation,Corporate,
1493,Seiko Instruments Inc.,Corporate,
1494,Selas Heat Technology Company LLC,Corporate,
1495,Semiconductor Manufacturing International (Shanghai) Corporation,Corporate,
1496,Semics Inc.,Corporate,
1497,Semileds Optoelectronics Co.,Government,
1498,Sensor-Kinesis Corporation,Corporate,
1499,Sharp Kabushiki Kaisha,Government,
1500,Shell Oil Company,Corporate,
1501,Shimadzu Corporation,Corporate,
1502,Sichuan University,Academic,
1503,Sick AG,Corporate,
1504,Siemens Aktiengesellschaft ,Government,
1505,Siemens Corporation,Corporate,
1506,Sigma-Aldrich Co. LLC,Corporate,
1507,Silicon Genesis Corporation,Corporate,
1508,Silicon Space Technology Corp.,Corporate,
1509,Silicor Materials Inc.,Corporate,
1510,Simbol Inc.,Corporate,
1511,Sion Power Corporation,Corporate,
1512,SolAero Technologies Corp.,Corporate,
1513,Sola U.S.A. Inc.,Corporate,
1514,SolaBlock LLCNational Cheng Kung University,Academic,
1515,Solaire Generation LLC,Corporate,
1516,Solar Junction Corporation,Corporate,
1517,Solar-Tectic LLC,Corporate,
1518,SolarCity Corporation,Corporate,
1519,SolarLego Inc.,Corporate,
1520,SolarWorld Americas Inc.,Corporate,
1521,Solaris Holdings Limited,Corporate,
1522,Soliton Lasers,Government,
1523,Solutia Inc.,Corporate,
1524,Sony Corporation,Corporate,
1525,Sony Interactive Entertainment America LLC,Corporate,
1526,South Dakota Board of Regents,Academic,
1527,Southwest Research Institute,Corporate,
1528,St. Jude Children's Research Hospital,Academic,
1529,St. Microelectronics Inc.,Corporate,
1530,Stanford University,Academic,
1531,Starlight Energy Holdings LLC,Corporate,
1532,Starsource Scientific LLC,Corporate,
1533,Stellenbosch University,Academic,
1534,Stevens Institute of Technology,Academic,
1535,Stichting Energieonderzoek Centrum Nederland,Academic,
1536,Stora Enso Oyj,Government,
1537,Sumco Corporation,Corporate,
1538,Sun Chemical Corporation,Corporate,
1539,Sun Drilling Products Corporation,Corporate,
1540,Sun Synchrony,Government,
1541,SunCulture Solar Inc.,Corporate,
1542,SunEdison Semiconductor Limited,Corporate,
1543,SunLink Corporation,Corporate,
1544,SunPower Corporation,Corporate,
1545,Sungevity Inc.,Corporate,
1546,Sungkyunkwan University Foundation for Corporate Collaboration,Academic,
1547,Sunlight Photonics Inc.,Corporate,
1548,Sunnybrook Health Sciences Centre,Academic,
1549,Sunrun South LLC,Corporate,
1550,Supremex Inc.,Corporate,
1551,Surebeam Corporation,Corporate,
1552,Sutter Bay Hospitals,Government,
1553,Swagelok Company,Corporate,
1554,Symantec Corporation,Corporate,
1555,Syngenta Participations AG,Corporate,
1556,Syracuse University,Academic,
1557,Sysmex Corporation,Corporate,
1558,TDK Corporation,Corporate,
1559,TEKNOR APEX COMPANY,Corporate,
1560,THE TRUSTEES OF DARTMOUTH COLLEGE,Academic,
1561,THE UNIVERSITY COURT OF THE UNIVERSITY OF GLASGOW,Academic,
1562,THYSSENKRUPP INDUSTRIAL SOLUTIONS GMBH,Corporate,
1563,TIME WARNER CABLE ENTERPRISES LLC,Corporate,
1564,TMC Corporation,Corporate,
1565,TRANE INTERNATIONAL INC.,Corporate,
1566,TRIDONIC GMBH & CO KG,Corporate,
1567,TRITON MICROTECHNOLOGIES,Government,
1568,Takara Bio Inc.,Corporate,
1569,Takeda Pharmaceutical Company Limited,Corporate,
1570,Tamura Corporation,Corporate,
1571,Tanaka Kikinzoku Kogyo K.K.,Government,
1572,Tata Consultancy Services Limited,Corporate,
1573,Tau Therapeutics LLC,Corporate,
1574,Teal Sales Incorporated,Government,
1575,Texas Instruments Deutschland GmbH,Corporate,
1576,Texas Instruments Incorporated,Government,
1577,Texas State University-San Marcos,Academic,
1578,Texas Tech University,Academic,
1579,Th United States of America as represented by the Secretary of the Army,Government,
1580,The Arizona Board of Regents,Academic,
1581,The Arizona Board of Regents of Behalf of the University of Arizona,Academic,
1582,The Babcock & Wilcox Company,Corporate,
1583,The Board of Regents of the University of Nebraska,Academic,
1584,The Board of Regents of the University of Oklahoma,Academic,
1585,The Board of Supervisors of Louisiana State University and Agricultural and Mechanical College,Academic,
1586,The Board of Trustees for the Leland Stanford Junior University,Academic,
1587,The Board of Trustees of Southern Illinois University,Academic,
1588,The Board of Trustees of the Leland Stanford Junior University,Academic,
1589,The Board of Trustees of the University of Arkansas,Academic,
1590,The Board of Trustees of the University of Illinois,Academic,
1591,The Boeing Company,Corporate,
1592,The Catholic University of Korea,Academic,
1593,The Children's Hospital of Philadelphia,Academic,
1594,The Children's Medical Center Corp.,Corporate,
1595,The Cleveland Clinic Foundation,Academic,
1596,The Corporation of Mercer University,Corporate,
1597,The Curators of the University of Missouri,Academic,
1598,The Eastern Co.,Government,
1599,The Florida International University Board of Trustees,Academic,
1600,The Gates Corporation,Corporate,
1601,The General Hospital Corporation,Corporate,
1602,The George Washington University,Academic,
1603,The Goodyear Tire & Rubber Company,Corporate,
1604,The Government of the United States as represented by the Secretary of the Department of Health and Human Services,Government,
1605,The Governors of the University of Alberta,Academic,
1606,The Hong Kong University of Science and Technology,Academic,
1607,The Iams Company,Corporate,
1608,The J. David Gladstone Institutes,Government,
1609,The Jackson Laboratory,Government,
1610,The Methodist Hospital System,Government,
1611,The National Institute of Standards and Technology,Academic,
1612,The Ohio State University,Academic,
1613,The Ohio State University Research Foundation,Academic,
1614,The Paymaster Corporation,Corporate,
1615,The Penn State Research Foundation,Academic,
1616,The Procter & Gamble Company,Corporate,
1617,The Regents of the University of California,Academic,
1618,The Regents of the University of Colorado,Academic,
1619,The Regents of the University of Michigan,Academic,
1620,The Research Foundation for the State University of New York,Academic,
1621,The Rockefeller University,Academic,
1622,The Royal Institution for the Advancement of Learning/McGill University,Academic,
1623,The Scripps Research Institute,Corporate,
1624,The State of Oregon Acting by and through the State Board of Higher Education on Behalf of Oregon State University,Academic,
1625,The Texas A&M University System,Academic,
1626,The Trustees of Boston College,Academic,
1627,The Trustees of Boston University,Academic,
1628,The Trustees of Columbia University in the City of New York,Academic,
1629,The Trustees of the Stevens Institute of Technology,Academic,
1630,The Trustees of the University of Pennsylvania,Academic,
1631,The United States Goverment as represented by the Administrator of the Environmental Protection Agency,Government,
1632,The United States Government as Represented by the Department of Veterans Affairs,Government,
1633,The United States of America as Represented by the Administrator of the National Aeronautics and Space Administration,Government,
1634,The United States of America as repesented by the Secretary of Commerce,Government,
1635,The United States of America as represented by the Secretary of Agriculture,Government,
1636,The United States of America as represented by the Secretary of the Air Force,Government,
1637,The United States of America as represented by the Secretary of the Navy,Government,
1638,The Unites States of America as represented by the Department of Energy,Government,
1639,The University of Akron,Academic,
1640,The University of Chicago,Academic,
1641,The University of Cincinnati,Academic,
1642,The University of Connecticut,Academic,
1643,The University of Houston System,Academic,
1644,The University of Liverpool,Academic,
1645,The University of Maryland,Academic,
1646,The University of North Carolina at Chapel Hill,Academic,
1647,The University of Pittsburgh,Academic,
1648,The University of Texas at Arlington,Academic,
1649,The University of Toledo,Academic,
1650,The University of Western Ontario,Academic,
1651,Thermo Fisher Scientific Inc.,Corporate,
1652,Thermorefinery Technologies Inc.,Corporate,
1653,Thermoretinary Technologies Inc.,Corporate,
1654,Thomas Jefferson University,Academic,
1655,Thoratec Corporation,Corporate,
1656,Thorn Bioscience LLC,Corporate,
1657,Ticona LLC,Corporate,
1658,Toda Kogyo Corporation,Corporate,
1659,Tohoku University,Academic,
1660,Tokyo Electron Limited,Corporate,
1661,Toray Industries Inc. ,Corporate,
1662,Toshiba Tec Kabushiki Kaisha,Government,
1663,Tosoh Corporation,Corporate,
1664,Total Marketing Services,Government,
1665,Toyota Jidosha Kabushiki Kaisha,Government,
1666,Traex Corporation,Corporate,
1667,Transtron Solutions LLC,Corporate,
1668,Triune IP LLC,Corporate,
1669,Trustees of Princeton University,Academic,
1670,Trustees of Tufts College,Academic,
1671,Tsinghua University,Academic,
1672,Tufts University,Academic,
1673,Turf Group LLC,Corporate,
1674,Turtle Beach Corporation,Corporate,
1675,Two Blades Foundation,Academic,
1676,Tyco Electronics Corporation,Corporate,
1677,Tyco Electronics U.K. LTD,Corporate,
1678,U S MICROPOWER INC,Corporate,
1679,U.S. Army Medical Research and Material Command,Government,
1680,U.S. Smokeless Tobacco Company LLC,Corporate,
1681,UAB Research Foundation,Academic,
1682,UCB Pharma S.A.,Government,
1683,UNISANTIS ELECTRONICS SINGAPORE PTE. LTD.,Corporate,
1684,UNIVERITY OF MASSACHUSETTS,Government,
1685,UNIVERSITY OF NORTH TEXAS,Academic,
1686,UOP LLC,Corporate,
1687,UTC FIRE & SECURITY CORPORATION,Corporate,
1688,UVIC INDUSTRY PARTNERSHIPS INC.,Corporate,
1689,Uni-Charm Corporation,Corporate,
1690,Unifrax I LLC,Corporate,
1691,Uniseal Solutions Inc.,Corporate,
1692,Unistrut International Corp.,Corporate,
1693,United Microelectronics Corp.,Corporate,
1694,United Technologies Corporation,Corporate,
1695,Unity Semiconductor Corporation,Corporate,
1696,Universal Display Corporation,Corporate,
1697,Universite d'Aix-Marseille II,Academic,
1698,University Court of the University of St. Andrews,Academic,
1699,University of British Columbia,Academic,
1700,University of Calcutta,Academic,
1701,University of Dayton,Academic,
1702,University of Dundee,Academic,
1703,University of Hull,Academic,
1704,University of Iowa Research Foundation,Academic,
1705,University of Kansas,Academic,
1706,University of Kentucky Research Foundation,Academic,
1707,University of Maine System Board of Trustees,Academic,
1708,University of Manitoba,Academic,
1709,University of Massachusetts,Academic,
1710,University of Memphis Research Foundation,Academic,
1711,University of Miami,Academic,
1712,University of MiamiåÑDiabetes Research Institute,Academic,
1713,University of North Carolina,Academic,
1714,University of North Dakota,Academic,
1715,University of Notre Dame Du Lac,Academic,
1716,University of Oregon,Academic,
1717,University of PittsburghåÑof the Commonwealth System of Higher Education,Academic,
1718,University of Puerto Rico,Academic,
1719,University of Rochester,Academic,
1720,University of South Florida,Academic,
1721,University of Southern California,Academic,
1722,University of Tennessee Research Foundation,Academic,
1723,University of Utah Research Foundation,Academic,
1724,University of Virginia Patent Foundation,Academic,
1725,University of Washington ,Academic,
1726,University of Washington through its Center for Commercialization,Academic,
1727,University of Wyoming,Academic,
1728,VANDERBILT UNIVERSITY CENTER FOR TECHNOLOGY TRANSFER AND COMMERCIALIZATION,Academic,
1729,VEECO PRECISION SURFACE PROCESSING LLC,Corporate,
1730,VERILY LIFE SCIENCES LLC,Corporate,
1731,VERLASE TECHNOLOGIES LLC,Corporate,
1732,VIASAT INC.,Corporate,
1733,VINDICO NANOBIO TECHNOLOGY INC.,Corporate,
1734,VIOLIN MEMORY,Government,
1735,Vanderbilt University,Academic,
1736,Vascular BioSciences,Government,
1737,Virginia Commonwealth University,Academic,
1738,Visa International Business Machines Corporation,Corporate,
1739,VivaLnk Limited (Cayman Islands),Corporate,
1740,Vizio Inc.,Corporate,
1741,Volterra Semiconductor LLC,Corporate,
1742,Vorbeck Materials Corporation,Corporate,
1743,WADHAM ENERGY LP,Government,
1744,WCA Group LLC,Corporate,
1745,WELL Shield LLC,Corporate,
1746,WHATSAPP INC.,Corporate,
1747,Wake Forest University,Academic,
1748,Washington State University,Academic,
1749,Washington State University Research Foundation,Academic,
1750,Washington University,Academic,
1751,Washington University in St. Louis,Academic,
1752,Waters Technologies Corporation,Corporate,
1753,Watlow Electric Manufacturing Company,Corporate,
1754,Wave Energy Conversion Corporation of America,Corporate,
1755,Wayne State University,Academic,
1756,Weatherford Canada Partnership,Government,
1757,Wenger Corporation,Corporate,
1758,West Virginia University,Academic,
1759,Whitehead Institute for Biomedical Research ,Corporate,
1760,William Marsh Rice University,Academic,
1761,Winbond Electronics Corp.,Corporate,
1762,Wisconsin Alumni Research Foundation,Academic,
1763,Women and Infants' Hospital Rhode Island,Government,
1764,Wright State University,Academic,
1765,Wyatt Technology Corporation,Corporate,
1766,X DEVELOPMENT LLC,Corporate,
1767,Xenogenic Development Limited Liability Company,Corporate,
1768,Xerox Corporation,Corporate,
1769,Xintec Inc.,Corporate,
1770,Yageo Corporation,Corporate,
1771,Yale University,Academic,
1772,Yamaha Corporation,Corporate,
1773,Z124,Government,
1774,ZIH Corp.,Corporate,
1775,ZON,Government,
1776,Zeno Semiconductor Inc,Corporate,
1777,Zenon Technology Partnership,Government,
1778,Zephyr Energy Systems LLC,Corporate,
1779,Zoetis Services LLC,Corporate,
1780,Zygo Corporation,Corporate,
1781,adidas AG,Corporate,
1782,eSionic Corp.,Corporate,
1783,fybr,Government,
1784,iNanoBio LLC,Corporate,
1785,mVerify Corporation,Corporate,
1786,nLIGHT Photonics Corporation,Corporate,
