Name,patent_pattern,rd_pattern,product_pattern,trial_pattern,demo_pattern,manufacturing_pattern,venture_pattern,investment_pattern,university_pattern,partnership_pattern,greenness_pattern,customization_pattern,awards_pattern,membership_pattern,customer_pattern
Northwest Biotherapeutics,2,30,2,15,6,14,4,3,8,4,0,1,0,1,0
Total Marketing Services,0,9,4,9,10,17,2,24,2,17,8,2,32,13,4
Big Belly Solar,1,5,35,1,6,8,2,6,6,22,11,35,2,2,34
NanoOncology,0,26,1,2,0,9,3,7,31,7,1,1,6,5,0
PetraSolar,2,6,9,1,0,11,1,3,10,4,7,2,0,2,2
SanDisk Technologies,0,3,62,21,78,51,34,35,9,44,4,6,80,21,48
Unity Semiconductor,0,8,3,5,6,28,2,0,0,3,2,13,0,9,13
NOVA Chemicals (International) SA,0,3,11,1,2,15,0,15,3,23,6,9,0,15,10
Garland Industries,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
Archer Daniels Midland Company,0,1,2,7,4,16,1,10,0,19,7,5,4,38,6
MEDport,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Fina Technology,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
Cbrite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APPLIED STEMCELL,2,75,51,15,17,49,4,6,31,11,1,17,6,5,17
Watlow Electric Manufacturing Company,13,20,61,12,20,125,7,12,6,48,3,100,28,40,82
AG ENERGY SOLUTIONS,2,3,1,2,2,11,0,1,0,1,1,3,0,0,1
Sirnaomics,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KYOCERA DOCUMENT SOLUTIONS,0,8,19,5,0,17,2,3,0,10,7,13,6,4,10
Musco,0,1,1,0,0,2,0,1,0,2,0,2,2,0,2
Global OLED Technology,7,5,0,0,0,0,1,3,0,2,0,0,0,0,0
Mediatek,1,8,9,6,4,2,2,16,0,9,3,6,1,3,5
Inventus Holdings,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Aushon Biosystems,3,80,8,26,24,13,14,13,56,16,0,9,14,6,8
Sony,0,2,14,6,2,1,1,2,0,3,2,0,2,2,1
HRL Laboratories,4,54,1,8,19,37,0,6,4,3,1,13,5,9,12
Macronix Co,4,9,37,13,11,44,4,16,22,8,6,16,13,4,22
Beryllium Discovery Corp,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Magnachip Semiconductor,5,15,14,18,12,90,9,31,13,16,0,41,2,16,63
Rockwell Automation Technologies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Confluence Energy,1,0,5,4,2,24,0,0,0,2,9,5,0,0,6
IDEA TREE,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Avalanche Technology,10,15,0,9,11,43,15,25,21,13,0,2,3,9,7
Arkema,1,33,14,19,11,52,17,4,2,41,35,12,9,14,13
BRIGHTLEAF TECHNOLOGIES,1,2,0,3,2,10,3,2,3,0,4,5,1,0,3
The Jackson Laboratory,0,59,9,4,4,4,0,6,13,5,0,3,3,2,0
Acer,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
NeoVision,0,3,3,4,6,1,2,2,9,0,2,0,2,15,0
HGST NETHERLANDS BV,6,48,27,26,27,75,3,23,4,47,3,35,7,6,36
CELLTRION,1,26,14,14,4,29,1,5,1,6,1,0,0,0,0
Butamax(TM) Advanced Biofuels,1,1,1,1,0,15,0,0,0,3,1,1,0,2,1
HNO Greenfuels,9,3,0,0,0,3,0,0,0,2,2,0,1,0,0
JNC,0,0,4,1,1,9,0,0,0,0,0,1,0,0,1
Silicon Space Technology Corp,6,5,1,2,3,19,0,0,6,4,0,3,2,2,3
CAMBRIDGE ENTERPRISE LIMITED,32,86,10,5,7,26,10,74,114,26,4,4,5,18,11
Lumenco,0,3,14,5,2,2,0,0,0,1,1,9,2,0,7
Supremex,0,2,12,1,3,13,0,5,5,1,2,6,0,1,2
Applied Materials,4,49,25,26,22,120,21,60,19,54,16,35,24,7,39
SD Technologies,0,1,14,5,3,18,0,3,0,11,1,3,0,2,6
Lion Copolymer Geismar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific Light Technologies,0,5,1,2,1,7,2,10,3,0,7,1,0,1,1
Brightfield Transportation Solutions,0,4,1,1,1,2,0,3,1,9,14,1,4,2,5
Proterra,0,0,1,0,0,0,0,1,0,0,1,2,1,0,2
Bird-B-Gone,1,0,8,3,2,9,1,0,4,6,0,12,0,0,8
Magnolia Solar,5,32,6,3,5,41,0,5,16,12,21,5,5,3,5
OrbusNeich Medical,8,19,9,3,2,17,0,5,21,4,0,2,4,5,1
QuantumScape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riverbed Technology,0,17,53,22,24,25,6,35,5,105,4,71,25,15,87
SICPA Holding SA,0,8,5,3,1,14,1,17,2,4,4,0,1,4,2
Canon Nanotechnologies,6,11,0,0,1,25,1,0,10,3,1,2,9,1,2
Kronos,2,9,35,10,15,26,5,5,13,73,8,59,15,2,66
Thorlabs,0,0,2,0,0,2,0,0,0,3,1,1,0,0,0
ASM America,3,65,47,15,26,140,8,51,31,109,9,64,15,117,64
Bostik,0,1,7,9,5,11,3,1,0,1,0,4,2,0,7
Biological Dynamics,2,41,3,8,9,18,7,11,19,5,1,0,7,2,2
Midrex Technologies,0,15,9,5,3,66,0,3,0,7,3,7,1,1,6
NICHIA,0,1,8,2,2,2,0,0,1,5,0,1,0,1,0
Bristol-Myers Squibb Company,1,41,3,11,5,6,2,12,1,34,9,3,17,5,2
Carl Zeiss Meditec AG,0,8,5,1,3,4,0,3,1,2,0,7,0,2,6
Altex Technologies,0,13,5,13,19,11,0,0,2,2,1,3,0,0,3
RF Micro Devices,1,35,50,31,33,84,23,19,35,73,15,35,11,16,36
Olympus NDT,0,2,3,13,8,6,0,1,4,4,1,10,3,4,10
Hynix Semiconductor,3,36,25,46,40,119,8,15,23,54,55,11,3,18,21
Medical Diagnostic Laboratories,0,30,0,34,34,1,2,2,12,1,0,2,4,9,1
Uni-Charm,0,0,1,1,1,0,2,2,0,1,0,1,0,0,2
ALGETERNAL TECHNOLOGIES,3,8,7,5,5,25,0,2,0,2,14,1,0,0,3
Avertech,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Elenion Technologies,0,3,1,1,1,1,0,1,0,0,0,0,0,0,0
GDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADMA Products,1,3,2,0,0,14,0,0,0,0,0,0,0,0,0
Siemens Aktiengesellschaft,7,133,113,155,86,488,10,98,42,154,146,137,24,38,137
Toray Industries,0,11,4,2,1,18,6,4,0,6,9,6,0,1,7
Helios Focus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soliton Lasers,2,14,5,8,3,6,2,0,6,2,0,0,2,1,6
Coriant Advanced Technology,0,2,2,0,0,1,0,3,0,1,0,1,1,0,1
Fujitsu Limited,0,3,1,1,2,3,1,3,1,0,6,0,4,0,0
Alpha and Omega Semiconductor,0,1,2,2,1,4,0,1,0,0,1,3,0,0,4
Johnson & Johnson Vision Care,0,2,2,0,0,0,0,2,0,2,0,1,1,1,3
Kraton Polymers US,0,6,4,3,2,20,0,6,15,6,9,12,2,7,15
TRIDONIC & CO KG,0,2,6,0,0,2,0,0,0,4,1,3,1,0,3
Bluestar Silicones France,0,11,11,11,13,55,0,0,0,17,2,22,0,0,23
ASML Netherlands BV,9,28,14,4,7,81,5,21,12,29,0,34,8,23,33
SolarWorld Americas,0,3,6,0,0,33,0,3,0,8,8,4,7,0,4
Luna Innovations,0,11,4,12,13,7,2,1,0,3,0,0,0,3,0
Bell Helicopter Textron,0,2,5,11,4,5,0,0,7,3,1,14,2,3,12
Met Tech,0,1,0,0,0,1,0,1,0,0,0,2,0,0,1
Korea Kumho Petrochemical Co,0,2,1,2,3,1,0,5,0,1,2,0,0,0,0
International Technology Center,0,3,1,1,0,1,0,0,0,2,0,0,1,0,0
FPInnovations,1,67,9,30,15,86,5,4,14,41,24,4,1,37,8
DNA Twopointo,23,94,50,12,83,135,3,7,21,50,3,133,23,6,123
GE Healthcare Limited,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Livetv,0,0,4,0,0,1,0,1,0,0,0,0,0,4,0
NANOBIO,6,43,6,5,2,10,11,26,37,14,1,0,5,2,3
Chevron Oronitz Company,1,31,25,38,37,59,2,7,1,19,0,29,2,3,25
Copernicus Therapeutics,0,1,1,2,5,0,0,1,1,0,0,0,0,0,0
Carbon3D,1,11,6,4,4,38,1,1,11,3,1,8,0,2,10
American Air Liquide,0,9,8,23,3,41,2,3,0,27,6,13,2,3,12
Disney Enterprises,0,21,55,8,12,34,18,52,27,32,5,2,14,30,35
Cellular Research,0,8,3,2,1,0,0,0,4,3,0,0,0,1,0
Lumentum Operations,1,19,25,4,2,37,6,3,22,16,4,13,2,0,18
GENCO SCIENCES,0,1,8,0,0,2,0,0,0,5,0,2,0,0,3
Nantero,14,45,13,16,15,55,14,37,34,26,0,11,13,16,22
Novon,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Energysolutions,0,1,0,0,1,19,0,0,0,0,0,5,0,0,6
Tamura,0,0,10,2,1,18,0,0,0,10,1,10,0,1,8
QUALCOMM,3,10,2,3,8,13,4,1,0,2,1,2,1,1,3
NeuMoDx Molecular,0,9,3,3,4,3,1,2,5,1,0,0,0,0,0
BASF Coatings,0,5,4,3,4,8,0,2,0,6,2,0,0,0,0
SunRun,0,3,12,2,3,6,6,9,5,5,15,10,2,5,17
Sunlight Photonics,6,12,2,0,1,11,2,5,6,0,1,1,1,1,1
Conversant Intellectual Property Management,42,0,2,3,4,4,2,3,1,11,0,1,4,1,0
Owens-Brockway Glass Container,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0
Kaneka,0,20,14,0,1,23,3,1,2,7,6,2,15,4,1
Express Imaging Systems,0,1,10,1,1,10,0,2,0,10,0,2,0,2,14
Lof Solar,1,3,0,0,1,3,0,0,3,0,2,1,3,0,0
Performance Plants,0,13,2,1,3,1,0,2,1,10,4,0,0,1,0
Moxtek,0,19,7,8,10,30,5,0,2,25,4,15,1,0,11
Pulse Therapeutics,4,1,1,0,0,1,3,1,0,0,0,0,1,0,0
Clearside Biomedical,0,4,0,0,0,2,0,2,0,3,0,0,0,3,0
Sumco,0,2,0,2,2,4,0,0,0,2,1,5,1,0,5
Elwha,0,2,7,6,7,19,1,27,1,4,1,1,5,13,0
ADVANCED CERAMIC FIBERS,6,1,1,0,0,7,0,0,0,1,0,0,1,0,1
Celanese,0,2,0,0,0,8,0,1,0,2,0,5,0,0,6
Kala Pharmaceuticals,1,17,4,1,2,12,6,7,30,3,0,0,3,12,0
Metabolix,0,6,1,2,3,13,0,3,0,0,3,0,0,1,0
Grain Processing,1,16,10,15,9,44,1,8,0,14,5,32,1,1,32
Iogen,1,4,0,0,2,8,0,2,0,4,3,0,1,2,0
Pardev,0,1,4,1,0,5,0,0,0,1,0,0,0,0,0
The Carbon Cable Company,0,14,12,1,3,11,3,0,0,1,1,6,1,0,6
US NUTRACEUTICALS,0,2,35,3,5,8,2,5,1,16,4,8,0,11,10
Allertein Therapeutics,0,14,4,2,4,5,2,8,1,5,0,0,3,7,1
Maxout Renewables,13,16,2,5,6,14,0,5,11,3,15,0,4,0,0
SOLENA FUELS,0,0,4,1,1,1,0,2,0,1,0,2,0,1,2
LG Electronics,1,0,8,2,2,2,0,1,0,0,1,2,1,0,7
Senga Advisors,0,5,5,1,0,21,0,0,7,0,3,3,2,6,5
Veracode,1,58,44,58,64,69,7,9,12,33,3,38,14,8,38
Lawrence Livermore National Security,2,63,3,10,7,44,0,5,61,9,0,2,7,27,4
Semics,0,0,2,2,2,0,0,0,0,0,0,1,0,0,1
Murata Manufacturing Co,0,31,32,8,5,57,0,5,1,41,9,23,0,8,28
Revivicor,0,1,1,1,1,9,0,0,0,2,0,0,0,0,0
ElectraTherm,2,10,6,12,11,33,0,2,3,13,10,7,2,2,7
Vaxiion Therapeutics,3,21,0,0,0,7,0,3,9,0,0,0,1,0,0
Palo Alto Research Center,35,45,10,9,9,169,6,16,163,25,1,6,10,4,16
FutureWei Technologies,0,13,3,5,5,10,0,11,0,14,7,24,0,20,28
Samsung Electronics,0,9,10,4,7,3,1,6,0,5,41,2,2,2,3
Kashiv Pharma,6,35,3,2,0,9,2,0,1,15,0,0,4,2,1
Biocon Limited,1,86,25,8,4,56,4,19,30,50,3,6,14,15,4
American Piledriving Equipment,6,6,13,9,9,32,2,1,0,2,0,2,0,0,2
Production Resource Group,4,3,5,2,2,27,10,2,10,8,0,4,9,3,7
Nanoquantum Sciences,0,3,1,0,0,3,0,0,4,0,0,1,0,0,2
Pioneer Energy,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
Faurecia Interior Systems,1,5,13,6,6,19,4,9,13,18,11,5,4,1,5
Veracyte,0,5,0,10,15,3,0,7,1,1,0,0,5,1,2
Heidelberger Druckmaschinen AG,1,0,49,14,29,16,0,18,2,35,1,7,3,2,6
Nikon,0,2,10,20,25,8,1,7,0,1,8,2,15,0,1
ASCENT SOLAR TECHNOLOGIES,2,10,0,0,3,6,0,1,0,0,0,1,4,0,3
Anelva,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0
SPC,0,0,6,0,0,1,0,0,0,0,0,0,0,1,0
GlaxoSmithKline Biologicals,3,132,81,39,40,68,7,66,17,87,12,6,51,35,58
Wireless Environment,3,1,2,1,1,2,0,1,3,0,0,3,0,0,5
Apple,0,0,6,3,3,0,1,1,1,2,1,0,0,0,0
FRONT EDGE TECHNOLOGY,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Envisionit,0,14,6,5,13,11,0,1,3,23,0,12,10,1,14
VEECO PRECISION SURFACE PROCESSING,0,6,3,0,1,27,1,3,3,2,3,10,3,0,10
The Procter & Gamble Company,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Masimo Semiconductor,0,3,0,0,0,6,0,0,0,2,0,8,0,0,10
TT Technologies,1,1,1,3,4,23,1,1,0,0,0,3,0,0,3
Casio Computer Co,0,16,32,6,8,34,0,3,5,5,4,10,0,1,9
Newport,2,17,17,10,3,18,10,9,0,5,0,18,0,0,13
Aurora Alage,0,0,0,1,1,6,0,0,0,0,3,0,0,0,0
Star Technology and Research,0,9,1,1,1,5,0,0,4,0,0,0,3,0,0
Electrovaya,1,21,15,0,5,27,0,5,23,3,13,10,5,9,9
CNH Industrial America,2,16,31,19,5,88,17,6,3,14,27,19,6,1,20
Boston Scientific Scimed,0,22,27,14,7,36,1,22,50,13,17,12,43,23,12
Swift Engineering,1,2,1,0,0,14,0,0,0,3,0,1,5,1,1
Solarmer Energy,0,1,6,0,0,5,0,0,0,1,2,1,0,0,0
Illinois Tool Works,6,2,32,15,16,63,10,20,1,9,10,45,3,1,49
ZENA TECHNOLOGIES,0,5,30,6,6,1,0,0,0,0,0,14,3,0,11
Saint-Gobain Ceramics & Plastics,0,3,5,5,0,15,0,0,0,1,1,13,0,0,15
Custom Electronics,2,8,8,8,5,25,2,2,4,2,3,11,1,2,7
Adynxx,2,19,13,3,3,9,26,5,31,16,0,5,2,9,0
STATS ChipPAC,5,10,6,10,11,30,0,6,22,10,0,7,5,5,11
Morpho,1,2,3,0,1,2,0,3,0,2,0,3,0,0,3
DiscoveRx,0,35,4,6,13,3,4,1,0,15,0,11,0,3,9
k-Space Associates,0,30,5,4,3,30,6,1,174,13,1,14,1,0,4
Peytant Solutions,0,1,1,1,1,0,0,1,0,0,0,2,0,1,2
Solvay Specialty Polymers USA,3,18,14,20,7,64,16,11,10,22,12,16,5,13,20
Virent,2,28,8,7,8,25,0,2,1,16,13,1,27,6,1
bioTheranostics,1,26,8,8,9,4,8,6,19,10,0,1,3,2,2
PolyPlus Battery Company,4,8,1,5,2,5,0,1,0,0,0,0,0,0,1
MICROSOFT TECHNOLOGY LICENSING,12,9,5,2,1,3,0,4,0,7,1,2,0,0,2
Gilead Sciences,0,15,0,2,2,5,2,6,2,11,0,0,3,0,0
NanoMech,3,18,3,11,3,65,2,6,8,0,1,5,8,6,7
American Science and Technology,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1
Agena Bioscience,5,51,14,40,54,12,2,5,7,20,0,6,4,10,6
Gilead Connecticut,0,7,5,5,10,5,0,5,21,15,0,2,2,28,23
Mattson Technology,5,17,8,5,5,59,3,6,13,33,0,17,5,3,18
Quantapore,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0
Alnylam Pharmaceuticals,0,47,2,10,10,6,8,16,39,8,6,1,11,21,4
Universal Leaf Tobacco Co,1,3,8,3,6,33,1,15,0,15,11,19,1,1,22
Renesas Electronics,0,68,20,44,25,26,36,8,4,85,14,26,2,22,29
Oculus VR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sequenom,0,18,3,46,49,2,0,6,3,3,1,3,2,3,4
AGC Flat Glass North America,0,0,1,9,3,25,0,3,0,12,1,16,0,0,8
Pendar Technologies,0,4,0,1,0,3,0,2,0,0,0,1,0,1,0
Xintec,0,5,3,3,1,11,1,5,4,1,5,6,0,1,7
AbbVie,0,71,13,10,15,22,9,29,9,122,11,5,6,18,31
Daylight Solutions,3,16,4,12,7,17,5,2,5,5,1,8,9,1,7
CellPrint IP Holding,2,10,2,2,2,0,0,1,17,3,0,1,0,0,0
Gram Power,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Osram Sylvania,2,12,16,1,2,24,1,2,1,22,4,16,10,1,18
Columbia Insurance Company,0,1,2,1,4,0,2,1,0,8,0,5,1,4,9
Kinetech Power Company,1,1,0,3,2,0,0,0,0,0,6,0,0,0,0
Chemtreat,1,9,14,15,9,73,6,4,0,9,8,50,0,1,43
Johns Manville,1,3,4,5,2,17,1,3,0,41,5,13,2,1,14
Shell Oil Company,0,66,52,52,46,137,17,48,28,144,41,32,33,61,31
Landauer,0,4,1,4,2,0,0,0,1,3,0,5,0,0,7
Transilwrap Company,0,2,10,5,2,18,5,2,0,5,2,20,0,0,11
Poly-Med,9,5,2,0,0,22,2,0,4,2,0,7,9,0,4
Pfizer,1,67,22,17,11,19,10,44,2,119,5,7,9,20,13
JFE STEEL,0,17,8,4,1,57,0,1,0,8,1,12,0,3,12
Richtek Technology,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0
Carestream Health,2,38,76,27,29,115,8,14,5,90,13,40,35,15,41
INFINEUM LIMITED,0,11,13,2,5,18,0,2,0,18,3,20,2,3,20
Newlans,2,5,0,1,1,25,0,0,11,2,1,0,0,1,0
Travis Industries,0,3,18,2,3,14,0,0,0,0,4,3,15,0,5
Avery Dennison,2,18,31,12,12,37,3,8,4,14,37,14,20,1,18
PAX Scientific,0,8,0,6,1,4,0,1,0,2,0,0,0,0,2
AIR PRODUCTS AND CHEMICALS,0,0,2,3,4,10,0,3,0,6,3,4,0,0,5
Red Hat,9,28,46,12,25,53,25,20,2,71,5,55,25,10,58
IDEALAB,0,5,2,1,1,2,4,2,14,2,1,0,1,4,1
Ostendo Technologies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkival Technology Corp,0,4,0,0,0,1,0,0,0,0,0,1,0,0,2
Rio Grande Valley Sugar Growers,0,0,0,0,1,9,0,0,0,0,1,0,0,4,0
PortaFire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angaza Design,0,0,15,0,0,6,0,1,0,24,3,3,4,2,12
Dell Software,0,10,35,18,14,25,5,9,17,38,6,29,10,10,34
Takeda Pharmaceutical Company Limited,1,49,10,2,4,16,3,5,1,42,29,6,0,8,4
Semiconductor Energy Laboratory Co,4,9,5,2,0,3,0,1,1,0,0,0,2,0,0
Ampio Pharmaceuticals,12,50,3,15,10,16,3,10,17,11,0,0,9,15,1
PQ,1,9,1,5,1,26,0,1,1,2,8,5,2,1,10
CARBO Ceramics,1,11,14,40,11,89,14,19,0,4,6,7,17,10,20
Longhorn Vaccines and Diagnostics,1,10,0,4,3,1,0,1,15,0,0,0,0,0,0
Stanley Electric Co,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
SAINT-GOBAIN ABRASIFS,0,4,14,4,1,20,1,0,4,10,8,11,4,3,7
RA Miller Industries,0,0,2,3,3,6,0,2,0,1,0,7,3,0,6
Flextronics AP,2,7,2,18,11,43,0,11,2,38,21,16,31,1,19
Previvo Genetics,1,0,0,1,3,2,0,1,0,0,0,0,0,0,0
Hyundai Motor Company,0,6,14,5,5,11,0,1,0,28,1,6,6,0,6
Magna,4,35,37,7,21,142,6,59,1,155,17,32,187,4,34
Fuji Electric Co,2,24,95,24,10,118,9,14,0,10,28,12,3,1,14
Schneider Electric Solar Inverters USA,0,5,8,6,4,4,1,14,0,23,9,6,0,0,6
Nanoco Technologies,7,26,7,12,8,41,3,6,10,16,3,6,6,3,10
nanoComposix,2,38,16,10,7,28,2,3,19,2,0,14,0,0,10
ACACIA RESEARCH GROUP,10,2,1,0,0,4,2,10,7,5,0,1,1,11,0
Nthdegree Technologies Worldwide,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Singular Bio,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
LUCERA LABS,0,1,5,0,0,7,0,0,2,0,0,2,1,0,3
PPG Industries Ohio,1,4,15,6,1,23,6,7,0,9,7,15,7,8,16
Hamilton Sundstrand,0,1,0,4,5,6,0,3,0,11,7,4,1,0,4
Sanofi,0,42,34,22,12,38,4,15,1,50,6,1,10,15,7
MICROMIDAS,0,16,3,1,0,12,0,0,0,2,0,1,0,0,1
True-Safe Technologies,0,7,3,32,33,4,0,0,0,6,0,2,1,0,2
JAC Products,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2
Sinewatts,2,2,0,0,2,1,0,1,1,4,0,5,0,0,4
Infinera,4,33,18,5,5,50,9,5,41,28,16,21,20,18,25
Starsource Scientific,1,3,0,4,5,3,0,0,0,0,0,1,3,0,1
Bestway,0,4,5,0,0,10,0,0,0,4,8,2,1,0,4
Photon Dynamics,0,32,4,12,14,71,9,4,6,20,2,1,4,29,3
Rockwell Collins,0,0,0,1,1,3,1,1,0,4,1,2,1,0,2
Solar-Tectic,7,0,2,0,1,7,0,1,0,0,1,0,0,0,0
Genomic Health,1,34,7,72,79,4,3,20,27,14,2,8,5,7,2
Biosphere Medical,9,5,9,4,5,16,2,5,8,68,1,17,3,4,16
Nanotek Instruments,3,14,2,0,0,8,0,0,0,11,0,1,0,0,3
Takara Bio,2,133,50,27,41,77,19,10,14,19,9,33,14,6,12
Greyrock Energy,0,6,2,2,2,11,1,4,5,3,5,0,0,1,0
OAS Design Group,0,1,0,2,1,6,0,0,0,2,0,1,0,1,5
TRANE,0,1,7,6,0,7,0,2,1,7,4,1,0,1,1
Adhesives Research,0,9,0,7,6,31,0,1,0,6,0,7,0,0,4
Lintec,0,13,43,12,3,68,2,2,1,1,0,3,0,0,3
Boehringer Ingelheim,0,52,26,8,7,12,0,1,7,71,15,3,8,5,3
SunCulture Solar,0,0,1,0,0,2,0,0,0,1,5,0,1,0,6
Sun Chemical,4,16,13,12,6,29,3,0,0,3,23,27,1,5,21
Diamond Innovations,0,5,2,0,0,7,0,3,0,4,1,6,0,0,5
Sungevity,0,0,0,0,0,2,1,1,0,1,0,5,0,0,3
ServiceNow,0,15,24,5,10,12,3,16,9,50,1,47,6,6,47
Alcatel Lucent,0,28,72,25,54,29,4,12,12,171,3,115,35,13,113
Advanced Silicon Group,3,22,3,3,1,21,2,4,13,5,6,1,4,9,3
GED Intergrated Solution,1,2,8,2,3,74,2,1,0,5,3,22,13,0,22
Fairchild Semiconductor,1,1,5,7,6,11,2,3,0,84,1,17,13,1,15
Immunolight,11,41,13,10,9,12,0,4,33,6,0,0,5,2,5
Vadient Optics,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0
Rohm and Haas Electronic Materials,0,11,10,17,3,20,0,4,2,10,18,11,4,1,12
Toyota Motor Engineering & Manufacturing North America,0,5,3,5,6,15,0,2,1,4,1,3,2,6,3
Gestion Ultra,0,3,5,15,16,12,4,1,1,13,2,14,0,0,12
Mission Product Holdings,0,4,4,3,3,1,0,0,1,0,0,1,0,0,1
Neumedicines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyco Electronics,1,4,41,22,14,73,0,15,3,36,18,31,2,3,27
Selkermetrics,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3
Bayer Cropscience AG,0,79,11,19,23,47,3,22,13,49,55,16,4,11,28
KLA-Tencor,4,6,3,2,3,28,2,8,6,17,1,3,1,2,1
International Business Machines,3,43,49,28,28,79,10,29,7,44,2,34,16,2,49
SolaBlock,0,14,7,3,3,30,0,2,22,8,15,3,0,2,2
Headway Technologies,0,2,1,0,0,2,0,0,0,0,0,3,0,0,3
Eisai Co,1,58,50,9,4,41,8,18,8,24,14,4,9,18,7
Fianium,0,10,9,5,3,19,1,5,8,18,6,8,2,3,8
ZON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sigma-Aldrich Co,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0
Incept,0,2,2,0,0,2,2,0,3,1,1,7,5,4,21
Transtron Solutions,0,7,30,1,1,15,0,3,0,7,2,6,1,8,6
Research Triangle Institute,0,25,0,4,2,7,12,6,19,22,1,1,1,6,14
Eaton,2,6,44,17,21,50,3,27,1,96,32,39,7,3,35
GLYCON,0,5,57,4,3,24,0,0,0,4,2,2,0,2,30
Domtar Paper Company,0,5,32,3,4,50,5,11,0,8,22,16,29,3,23
The Eastern Co,0,2,3,9,2,28,2,26,9,6,4,9,2,6,4
GROW ENERGY,1,9,7,3,4,23,2,4,3,16,8,3,3,2,3
McAlister Technologies,0,1,9,0,0,4,0,0,0,1,0,4,0,1,9
SunEdison Semiconductor Limited,0,1,2,4,0,29,0,0,0,5,0,5,3,0,4
W&Wsens Devices,6,4,1,0,2,2,1,0,5,1,0,0,0,1,1
Imperial Innovations Limited,10,22,1,5,4,14,4,6,40,9,2,8,5,10,7
JX Nippon Mining & Metals,1,10,7,1,0,23,1,2,1,11,6,1,0,0,1
WOVN,1,2,3,0,0,6,0,0,0,2,0,12,0,0,2
DEKA Products Limited Partnership,0,12,0,1,1,2,1,0,0,0,0,0,0,0,0
Redwood Systems,0,0,4,2,4,0,0,2,0,4,0,5,0,0,8
Becton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bi-Modal,0,25,25,3,2,23,0,10,0,10,1,11,1,9,29
Leap Frogg,0,3,7,2,2,3,0,1,3,3,4,4,3,1,4
RES USA,0,0,0,3,0,10,0,1,2,4,0,4,0,2,9
Transposagen Biopharmaceuticals,0,13,8,2,2,19,0,3,0,2,0,4,0,0,4
NEC,0,7,7,5,5,6,1,5,0,1,5,1,1,0,2
Nokomis,1,3,0,1,1,3,1,0,0,0,0,2,3,0,2
Hollywood Trucks,0,2,6,6,6,7,0,0,0,4,7,0,0,1,0
Em-Tech,0,1,4,5,5,6,0,0,0,2,0,1,0,0,0
ATTOSTAT,3,19,2,5,4,35,0,1,7,11,1,2,1,2,4
United Microelectronics Corp,1,18,3,4,5,43,3,3,2,10,29,13,16,7,13
CUMMINS FILTRATION IP,3,0,7,0,0,4,0,1,0,4,0,4,1,2,4
NuOrtho Surgical,1,5,0,1,2,0,1,0,0,0,0,0,0,0,0
Daikin Industries,0,32,23,4,11,42,3,7,3,15,29,25,3,12,21
Sima Therapeutics,2,85,4,7,3,16,6,28,70,15,0,0,10,13,0
Quallion,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Great American Duck Races,0,0,2,0,0,4,0,3,0,0,0,0,0,1,0
Banpil Photonics,13,12,1,5,3,22,0,0,0,20,0,4,6,0,4
Electrix,3,6,19,12,7,39,0,1,4,9,0,17,21,2,9
