organization,organization_clnd,thes_types, employees
Raytheon Company,Raytheon Company,Corporate,"47,089"
GE Healthcare Limited,GE Healthcare Limited,Corporate,"50,661"
Johnson Controls Technology Company,Johnson Controls Technology Company,Corporate,"56,949"
3M Innovative Properties Company,3M Innovative Properties Company,Corporate,"59,176"
BASF SE,BASF SE,Corporate,"59,356"
BASF,BASF,Corporate,"59,370"
BASF Corporation ,BASF,Corporate,"59,370"
ExxonMobil Upstream Research Company,ExxonMobil Upstream Research Company,Corporate,"60,945"
"Medtronic Vascular, Inc.",Medtronic Vascular,Corporate,"65,795"
Roche Molecular Systems,Roche Molecular Systems,Corporate,"69,461"
"Avon Products, Inc.",Avon Products,Corporate,"71,650"
"Hewlett-Packard Development Company, L.P.",Hewlett-Packard Development Company,Corporate,"73,632"
"Samsung Electronics, Cp. Ltd.",Samsung Electronics,Corporate,"83,658"
Novartis AG,Novartis AG,Corporate,"84,171"
"Johnson & Johnson Consumer Companies, Inc.",Johnson & Johnson Consumer Companies,Corporate,"85,371"
"Cisco Technology, Inc.",Cisco Technology,Corporate,"86,295"
The Procter & Gamble Company,The Procter & Gamble Company,Corporate,"96,392"
GENERAL ELECTRIC COMPANY,GENERAL ELECTRIC COMPANY,Corporate,"97,571"
ABB AB,ABB AB,Corporate,"98,514"
Shell Oil Company,Shell Oil Company,Corporate,"126,346"
Hewlett Packard Enterprise Development LP,Hewlett Packard Enterprise Development LP,Corporate,"214,986"
"Siemens Medical Solutions USA, Inc.",Siemens Medical Solutions USA,Corporate,"216,615"
"Amazon Technologies, Inc.",Amazon Technologies,Corporate,"231,675"
Tata Consultancy Services Limited,Tata Consultancy Services Limited,Corporate,"375,058"
Siemens Aktiengesellschaft,Siemens Aktiengesellschaft,Corporate,"216,615"
"Agency for Science, Technology and Research",Agency for Science,Government,  
"Alencon Acquisition Co., LLC.",Alencon Acquisition Co.,Corporate,  
"Altek, L.L.C.",Altek,Corporate,  
"Arizona Board of Regents, a body coporate acting for and on behalf of Arizona State University",Arizona Board of Regents,Academic,  
"Arizona Board of Regents, a body corporate of the State of Arizona, Acting for and on behalf of Arizona State University",Arizona Board of Regents,Academic,  
"BOE Technology Group Co., Ltd.",BOE Technology Group Co.,Corporate,  
"Beijing BOE Display Technology Co., Ltd.",Beijing BOE Display Technology Co,Corporate,10
"Board of Regents of the Nevada System of Higher Education, on behalf of the University of Nevada, Reno",Board of Regents of the Nevada System of Higher Education,Academic,  
"Board of Regents, University of Texas System",Board of Regents,Academic,  
"Board of Trustees of Michigan State University and Vahid Sendijarevice, joint ownership",Board of Trustees of Michigan State University and Vahid Sendijarevice,Academic,  
"Buckman Laboratories International, Inc.",Buckman Laboratories,Corporate,50
"CP Kelco U.S., Inc.",CP Kelco US,Corporate,"1,238"
"Canon U.S. Life Sciences, Inc.",Canon US Life Sciences,Corporate,31
"Carbon Research & Development, Co.",Carbon Research & Development,Government,  
"Cargill, Incorporated",Cargill,Government,  
"Casio Computer Co., Ltd.",Casio Computer Co,Corporate,139
"Clean Power Research, L.L.C.",Clean Power Research,Government,  
"Colorado Seminary, which owns and operates the University of Denver",Colorado Seminary,Academic,  
"DNA2.0, INC.",DNA20,Corporate,23
"Dentsply International, Inc.",Dentsply,Corporate,"6,197"
"Dongbu Hitek Co., Ltd.",Dongbu Hitek Co,Corporate,200
"Eisai Co., Ltd.",Eisai Co,Corporate,"2,661"
"Envision Solar International, Inc.",Envision Solar,Corporate,30
"Florida State University Research Foundation, Inc",Florida State University Research Foundation,Academic,  
"Fuji Electric Co., Ltd.",Fuji Electric Co,Corporate,158
"Fuji Xerox Co., Ltd.",Fuji Xerox Co,Corporate,"2,480"
"Furukawa Electric Co., Ltd.",Furukawa Electric Co,Corporate,209
"General Engineering & Research, L.L.C.",General Engineering & Research,Academic,  
"HARMAN INTERNATIONAL INDUSTRIES, INC.",HARMAN INDUSTRIES,Corporate,"12,240"
"Her Majesty the Queen in right of Canada, as represented by the Minister of Agriculture",Her Majesty the Queen in right of Canada,Government,  
"Hon Hai Precision Industry Co., Ltd.",Hon Hai Precision Industry Co,Corporate,222
"Honda Motor Co., Ltd.",Honda Motor Co,Corporate,"7,979"
"Iowa State University Research Foundation, Inc. ",Iowa State University Research Foundation,Academic,  
"J. E. WHITE, LLC",J E WHITE,Corporate,4
"K.S. INTERNATIONAL CO., LTD.",KS CO,Corporate,56
"Kansai Paint Co., Ltd.",Kansai Paint Co,Corporate,204
"Katholieke Universiteit Leuven, KU Leuven R&D",Katholieke Universiteit Leuven,Academic,  
"Korea Kumho Petrochemical Co., Ltd.",Korea Kumho Petrochemical Co,Corporate,111
"LG Display Co., Ltd.",LG Display Co,Corporate,"4,420"
"Laserline Mfg., Inc.",Laserline Mfg,Corporate,4
"MANUFACTURING RESOURCES INTERNATIONAL, INC.",MANUFACTURING RESOURCES,Corporate,25
"Macronix International Co., Ltd.",Macronix Co,Corporate,763
"Minebea Co., Ltd.",Minebea Co,Corporate,69
"Murata Manufacturing Co., Ltd.",Murata Manufacturing Co,Corporate,"2,932"
"NGK Spark Plug Co., Ltd.",NGK Spark Plug Co,Corporate,18
"NXP, B.V.",NXP,Government,  
"Nippon Shokubai Co., Ltd.",Nippon Shokubai Co,Corporate,45
"Nissan Motor Co., Ltd.",Nissan Motor Co,Corporate,"34,997"
"OTSUKA PHARMACEUTICAL CO., LTD.",OTSUKA PHARMACEUTICAL CO,Corporate,"2,617"
"Panasonic Intellectual Property Management Co., Ltd.",Panasonic Intellectual Property Management Co,Corporate,"10,742"
"Praxair S.T. Technology, Inc.",Praxair ST Technology,Corporate,484
"Prosoft International, Inc.",Prosoft,Corporate,14
"R.A. Miller Industries, Inc.",RA Miller Industries,Corporate,42
"R.P. Scherer Technologies, Inc.",RP Scherer Technologies,Corporate,3
"Richtek Technology Corporation, R.O.C.",Richtek Technology,Corporate,496
"Rutgers, The State University of New Jersey",Rutgers,Academic,  
"Rutgers, The State of New Jersey",Rutgers,Government,  
"S. C. Johnson & Son, Inc. ",S C Johnson & Son,Corporate,"9,849"
"S.C. Johnson & Son, Inc.",SC Johnson & Son,Corporate,"9,849"
"SAMSUNG DISPLAY CO., LTD.",SAMSUNG DISPLAY CO,Corporate,26
"SK Telecom Co., Ltd",SK Telecom Co,Corporate,"7,924"
"SPC International, LLC",SPC,Corporate,11
"Samsung Corning Precision Materials Co., Ltd",Samsung Corning Precision Materials Co,Corporate,"2,018"
"Samsung Electro-Mechanics Co., Ltd.",Samsung Electro-Mechanics Co,Corporate,"1,354"
"Samsung Electronics Co., Ltd.",Samsung Electronics Co,Corporate,328
"Samsung SDI Co., Ltd.",Samsung SDI Co,Corporate,2
"Sanken Electric Co., Ltd.",Sanken Electric Co,Corporate,18
"Sanyo Electric Co., Ltd.",Sanyo Electric Co,Corporate,3
"Semiconductor Energy Laboratory Co., Ltd.",Semiconductor Energy Laboratory Co,Corporate,12
"Shenzhen China Star Optoelectronics Technology Co., Ltd",Shenzhen China Star Optoelectronics Technology Co,Corporate,36
"Shin-Etsu Chemical Co., Ltd.",Shin-Etsu Chemical Co,Corporate,485
"Siliconware Precision Industries Co., Ltd.",Siliconware Precision Industries Co,Corporate,539
"St. Jude Medical, Inc.",St Jude Medical,Corporate,"11,570"
"Stanley Electric Co., Ltd.",Stanley Electric Co,Corporate,104
"T.H.E.M., Inc.",THEM,Corporate,3
"Taiyo Ink Mfg. Co., Ltd.",Taiyo Ink Mfg Co,Corporate,22
"Texas Research International, Inc.",Texas Research,Corporate,236
"The Board of Trustees of the University of Alabama, for and on behalf of the University of Alabama in Huntsville",The Board of Trustees of the University of Alabama,Academic,  
"The Government of the United States of America as represented by The Secretary of The Department of Health and Human Services, The National Institutes of Health",The Government of the United States of America as represented by The Secretary of The Department of Health and Human Services,Government,  
"The Government of the United States of America as represented by the Secretary of Health and Human Services, Centers for Disease Control and Prevention",The Government of the United States of America as represented by the Secretary of Health and Human Services,Government,  
"The Henry M. Jackson Foundation for the Advancement of Military Medicine, Inc.",The Henry M Jackson Foundation for the Advancement of Military Medicine,Corporate,"1,355"
"The Regents of the University of Colorado, a body corporate",The Regents of the University of Colorado,Academic,  
"The Research Foundation of State University Of New York Research Development Services, Binghamton University",The Research Foundation of State University Of New York Research Development Services,Academic,  
"The United States of America, Naval Undersea Warfare Center",The United States of America,Government,  
"Therapeutic Proteins International, LLC",Therapeutic Proteins,Corporate,4
"Tokyo Ohka Kogyo Co., Ltd.",Tokyo Ohka Kogyo Co,Corporate,18
"U.S. NUTRACEUTICALS, LLC",US NUTRACEUTICALS,Corporate,2
"UNIVERSITY OF MARYLAND, COLLEGE PARK",UNIVERSITY OF MARYLAND,Academic,  
"Universal Leaf Tobacco Co., Inc.",Universal Leaf Tobacco Co,Corporate,451
"University of Central Florida Research Foundation, Inc.",University of Central Florida Research Foundation,Academic,  
"University of Florida Research Foundation, Inc.",University of Florida Research Foundation,Academic,  
"University of Georgia Research Foundation, Inc.",University of Georgia Research Foundation,Academic,  
"University of Louisville Research Foundation, Inc.",University of Louisville Research Foundation,Academic,  
"University of Maryland, Baltimore County",University of Maryland,Academic,  
"Virginia Tech Intellectual Properties, Inc.",Virginia Tech Intellectual Properties,Academic,  
"Wine.com, Inc.",Winecom,Corporate,176
"Yeda Research and Development Co., Ltd.",Yeda Research and Development Co,Corporate,24
646840 Alberta Ltd.,646840 Alberta,Corporate, -   
AAC Technologies Pte. Ltd.,AAC Technologies Pte,Corporate,"2,141"
ABB Research Ltd.,ABB Research,Corporate,23
ABB Technology Ltd.,ABB Technology,Corporate,"98,514"
ABL IP Holding LLC,ABL IP Holding,Corporate,365
AC International Inc.,AC,Corporate,7
ACACIA RESEARCH GROUP LLC,ACACIA RESEARCH GROUP,Corporate,2
ACUCELA INC.,ACUCELA,Corporate,60
ADASA INC.,ADASA,Corporate,117
ADVANCED INNOVATION CENTER LLC,ADVANCED INNOVATION CENTER,Corporate,18
AGFA-GEVAERT N.V.,AGFA-GEVAERT NV,Corporate,147
ALSTOM Technology Ltd,ALSTOM Technology,Corporate,"30,222"
AMERICAN BIO ENERGY CONVERTING CORP.,AMERICAN BIO ENERGY CONVERTING CORP,Corporate,34
APPLIED MATERIALS ISRAEL LTD.,APPLIED MATERIALS ISRAEL,Corporate,"17,951"
ASM IP HOLDING B.V.,ASM IP HOLDING BV,Corporate,256
ASM IP Holdings LLC,ASM IP Holdings,Corporate,257
ASML Netherlands B.V.,ASML Netherlands BV,Corporate,113
AT&T Corporation,AT&T,Corporate,"234,240"
ATOMERA INCORPORATED,ATOMERA,Corporate,16
AZ Electronic Materials (Luxembourg) S.A.R.L.,AZ Electronic Materials (Luxembourg) SARL,Corporate,284
AbbVie Inc.,AbbVie,Corporate,"25,817"
Abbott Cardiovascular Systems Inc.,Abbott Cardiovascular Systems,Corporate,693
Abbott Molecular Inc.,Abbott Molecular,Corporate,227
Abbott Point of Care Inc.,Abbott Point of Care,Corporate,227
Access Business Group International LLC,Access Business Group,Corporate,168
AccuRay Corporation,AccuRay,Corporate,994
Acer Incorporated,Acer,Corporate, -   
Adaptive Biotechnologies Corp.,Adaptive Biotechnologies Corp,Corporate,274
Adeka Corporation,Adeka,Corporate,25
Adobe Systems Incorporated,Adobe Systems,Corporate,"20,769"
Aerosol Dynamics Inc.,Aerosol Dynamics,Corporate,6
AgroFresh Inc.,AgroFresh,Corporate,259
Algenol Biotech LLC,Algenol Biotech,Corporate,133
Alpha and Omega Semiconductor Incorporated,Alpha and Omega Semiconductor,Corporate,326
Altex Technologies Corporation,Altex Technologies,Corporate,11
Amberwave Inc.,Amberwave,Corporate,9
American Science and Technology Corporation,American Science and Technology,Corporate,6
American University of Beirut,American University of Beirut,Academic,  
Amgen Fremont Inc.,Amgen Fremont,Corporate,"26,858"
Amgen Inc.,Amgen,Corporate,"26,860"
Ana G. Mͩndez University System,Ana G Mͩndez University System,Academic,  
Andritz Inc.,Andritz,Corporate,"8,060"
Aneeve LLC,Aneeve,Corporate, -   
Anelva Corporation,Anelva,Corporate,37
Antaya Technologies Corporation,Antaya Technologies,Corporate,54
Apple Inc.,Apple,Corporate,"193,331"
Applied Genetic Technologies Corporation,Applied Genetic Technologies,Corporate,85
Arizona Board of Regents acting on behalf of Arizona State University,Arizona Board of Regents acting on behalf of Arizona State University,Academic,  
Arizona Board of Regents on Behalf of the University of Arizona,Arizona Board of Regents on Behalf of the University of Arizona,Academic,  
Arkema Inc.,Arkema,Corporate,"6,211"
Arkival Technology Corp.,Arkival Technology Corp,Corporate,3
Armageddon Energy Inc.,Armageddon Energy,Corporate,5
Assistance Pulique-H͉pitaux de Paris,Assistance Pulique-H͉pitaux de Paris,Hospital,  
Atleisure LLC,Atleisure,Corporate,4
Atotech Deutschland GmbH,Atotech Deutschland,Corporate,"1,636"
Atrium Medical Corporation,Atrium Medical,Corporate,"3,160"
Auburn University,Auburn University,Academic,  
Avago Technologies General IP (Singapore) Pte. Ltd.,Avago Technologies General IP (Singapore) Pte,Corporate,"2,317"
Avant Garde Therapeutics & Technologies LLC,Avant Garde Therapeutics & Technologies,Corporate,"4,482"
Avery Dennison Corporation,Avery Dennison,Corporate,"13,668"
B.G. Negev Technologies and Applications Ltd.,BG Negev Technologies and Applications,Corporate,18
BAE Systems Information and Electronic Systems Integration Inc.,BAE Systems Information and Electronic Systems Integration,Corporate,"45,227"
BASF Coatings GmbH,BASF Coatings,Corporate,299
BASF Enzymes LLC,BASF Enzymes,Corporate, -   
BASF Plant Science GmbH,BASF Plant Science,Corporate,95
BAXALTA INCORPORATED,BAXALTA,Corporate,"1,233"
BCE Inc.,BCE,Corporate,157
BERKEN ENERGY LLC,BERKEN ENERGY,Corporate,7
BLANC VINEYARDS L.L.C.,BLANC VINEYARDS LLC,Corporate,2
BP Corporation North America Inc.,BP North America,Corporate,76
BRIGHAM YOUNG UNIVERSITY,BRIGHAM YOUNG UNIVERSITY,Academic,  
BRIGHTLEAF TECHNOLOGIES INC.,BRIGHTLEAF TECHNOLOGIES,Corporate,27
BROADCOM CORPORATION,BROADCOM,Corporate, -   
BTPATENT LLC,BTPATENT,Corporate, -   
BTU International,BTU,Corporate,95
Baker Hughes Incorporated,Baker Hughes,Corporate,"50,112"
Basell Polyolefine GmbH,Basell Polyolefine,Corporate,46
Bausch & Lomb Incorporated,Bausch & Lomb,Corporate,"6,729"
Baxter International Inc.,Baxter,Corporate,"24,877"
Bayer Materialscience LLC,Bayer Materialscience,Corporate,"8,924"
Baylor College of Medicine,Baylor College of Medicine,Academic,  
Bell Helicopter Textron Inc.,Bell Helicopter Textron,Corporate,"1,935"
Beryllium Discovery Corp.,Beryllium Discovery Corp,Corporate,27
Beth Israel Medical Center,Beth Israel Medical Center,Hospital,  
Bi-Modal Corporation,Bi-Modal,Corporate,3
Bioneer Corporation,Bioneer,Corporate,54
Biosense Webster (Israel) Ltd.,Biosense Webster (Israel),Corporate,"2,235"
Biotta LLC,Biotta,Corporate,28
Bitrode Corporation,Bitrode,Corporate,63
Board of Trustees of Michigan State University,Board of Trustees of Michigan State University,Academic,  
Boehringer Ingelheim International GmbH,Boehringer Ingelheim,Corporate,"33,935"
Boehringer Ingelheim Vetmedica GmbH,Boehringer Ingelheim Vetmedica,Corporate,"33,935"
Bosch Energy Storage Solutions LLC,Bosch Energy Storage Solutions,Corporate,42
Boston Scientific Neuromodulation Corporation,Boston Scientific Neuromodulation,Corporate,"29,164"
Brandels University,Brandels University,Academic,  
Brewer Science Inc.,Brewer Science,Corporate,357
Bridgestone Corporation,Bridgestone,Corporate,"1,233"
Brigham and Women's Hospital,Brigham and Women's Hospital,Hospital,  
Brookhaven Science Associates LLC ,Brookhaven Science Associates,Corporate,12
Brother International Corporation,Brother,Corporate,4
Brown University,Brown University,Academic,  
Butamax(TM) Advanced Biofuels LLC,Butamax(TM) Advanced Biofuels,Corporate,14
CARBO Ceramics Inc.,CARBO Ceramics,Corporate,372
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,Government,  
CERION LLC,CERION,Corporate,18
CITY UNIVERSITY OF HONG KONG,CITY UNIVERSITY OF HONG KONG,Academic,  
CLEARSIGN COMBUSTION CORPORATION,CLEARSIGN COMBUSTION,Corporate,24
CNH Industrial America LLC,CNH Industrial America,Corporate,"17,715"
CNRS,CNRS,Government,  
COOK MEDICAL TECHNOLOGIES LLC,COOK MEDICAL TECHNOLOGIES,Corporate,14
COVERIS FLEXIBLES US LLC,COVERIS FLEXIBLES US,Corporate,14
CPC International Inc.,CPC,Corporate,156
Cabot Corporation,Cabot,Corporate,"3,035"
Cadtrak Corporation,Cadtrak,Corporate, -   
California Institute of Technology,California Institute of Technology,Academic,  
Callahan Cellular L.L.C.,Callahan Cellular LLC,Corporate,3
Carl Zeiss Microscopy GmbH,Carl Zeiss Microscopy,Corporate,"1,354"
Carnegie Mellon University,Carnegie Mellon University,Academic,  
Case Western Reserve University,Case Western Reserve University,Academic,  
Cbrite Inc.,Cbrite,Corporate,15
Cedars-Sinai Medical Center,Cedars-Sinai Medical Center,Hospital,  
Celanese Corporation,Celanese,Corporate,"5,214"
Celanese International Corporation,Celanese,Corporate,"5,214"
Central Iowa Health System,Central Iowa Health System,Government,  
Certain-teed Corporation,Certain-teed,Corporate,"2,616"
Cetac Technologies Inc.,Cetac Technologies,Corporate,59
Cetus Corporation,Cetus,Corporate,51
Chevron Oronitz Company LLC,Chevron Oronitz Company,Corporate, -   
Chevron U.S.A. Inc.,Chevron USA,Corporate,"72,113"
Child Laboratories Inc.,Child Laboratories,Corporate,10
Children's Hospital and Research Center at Oakland,Children's Hospital and Research Center at Oakland,Hospital,  
Children's National Medical Center,Children's National Medical Center,Hospital,  
China University of Petroleum-Beijing,China University of Petroleum-Beijing,Academic,  
Chipmos Technologies Inc.,Chipmos Technologies,Corporate,70
Chiron Corporation,Chiron,Corporate,27
Cima NanoTech Israel Ltd.,Cima NanoTech Israel,Corporate,19
City of Hope,City of Hope,Hospital,  
Cleanvantage LLC,Cleanvantage,Corporate, -   
Clemson University,Clemson University,Academic,  
Clemson University Research Foundation,Clemson University Research Foundation,Academic,  
Coactive Drive Corporation,Coactive Drive,Corporate,3
Colorado School of Mines,Colorado School of Mines,Academic,  
Colorado State University Research Foundation,Colorado State University Research Foundation,Academic,  
Columbia University,Columbia University,Academic,  
Commissariat a l'Energie Atomique,Commissariat a l'Energie Atomique,Government,  
Commissariat a l'Energie Atomique et aux Energies Alternatives,Commissariat a l'Energie Atomique et aux Energies Alternatives,Government,  
Community Power Corporation,Community Power,Corporate,65
Compagnie Generale des Etablissements Michelin,Compagnie Generale des Etablissements Michelin,Government,  
Conoco Inc.,Conoco,Corporate,"21,336"
Conversant Intellectual Property Management Inc.,Conversant Intellectual Property Management,Corporate,38
Cook Biotech Incorporated,Cook Biotech,Corporate,124
Cornell University,Cornell University,Academic,  
Corning Incorporated,Corning,Government,  
Council of Scientific and Industrial Research,Council of Scientific and Industrial Research,Academic,  
Crestovo LLC,Crestovo,Corporate, -   
Cristal USA Inc.,Cristal USA,Corporate,46
Crowder College,Crowder College,Academic,  
Crystal Solar Inc.,Crystal Solar,Corporate,2
Crystal Solar Incorporated,Crystal Solar,Corporate,2
Crystalplex Corporation,Crystalplex,Corporate,6
Custom Electronics Inc.,Custom Electronics,Corporate,8
Cymatics Laboratories Corp.,Cymatics Laboratories Corp,Corporate,4
Cypress Semiconductor Corp.,Cypress Semiconductor Corp,Corporate,"4,245"
D-Wave Systems Inc.,D-Wave Systems,Corporate,182
DECA Technologies Inc.,DECA Technologies,Corporate,316
DIC Corporation,DIC,Corporate,7
DISCOVERYBIOMED INC.,DISCOVERYBIOMED,Corporate,5
DPx Holdings B.V.,DPx Holdings BV,Corporate,37
DSP Group LTD.,DSP Group,Corporate,765
Dana Corporation,Dana,Corporate,"8,912"
Danisco US Inc.,Danisco US,Corporate,"3,047"
Danmarks Tekniske Universitet,Danmarks Tekniske Universitet,Academic,  
Delavau LLC,Delavau,Corporate,16
Dell Software Inc.,Dell Software,Corporate,"3,750"
Denso Corporation,Denso,Corporate,"10,406"
Deutsches Krebsforschungszentrum Stiftung Des Offenlichen Rechts,Deutsches Krebsforschungszentrum Stiftung Des Offenlichen Rechts,Government,  
Dexerials Corporation,Dexerials,Corporate,18
Dialight Corporation,Dialight,Corporate,632
Dialogic Corporation,Dialogic,Corporate,33
DiscoveRx Corporation,DiscoveRx,Corporate,142
Dolby Laboratories Licensing Corporation,Dolby Laboratories Licensing,Corporate,"2,028"
Dow AgroSciences LLC,Dow AgroSciences,Corporate,15
Dow Corning Corporation,Dow Corning,Corporate,"7,880"
Dow Global Technologies Inc.,Dow Global Technologies,Corporate,"35,159"
Dow Technology Investments LLC,Dow Technology Investments,Corporate,"4,406"
Dr. Reddy's Laboratories Ltd.,Dr Reddy's Laboratories,Corporate,"14,555"
Drexel University,Drexel University,Academic,  
DuPont Teijin Films U.S. Limited Partnership,DuPont Teijin Films US Limited Partnership,Corporate,213
Duke University,Duke University,Academic,  
Duquesne University of the Holy Ghost,Duquesne University of the Holy Ghost,Academic,  
Dymax Corporation,Dymax,Corporate, -   
E Ink Corporation,E Ink,Corporate,516
E. I. du Pont de Nemours and Company,E I du Pont de Nemours and Company,Corporate,230
E. I. du Pont de Nemours and Company duPont Displays Inc,E I du Pont de Nemours and Company duPont Displays,Corporate,"33,678"
E. Tech Incorporation,E Techorporation,Corporate, -   
E.I. du Pont de Nemours and Company,EI du Pont de Nemours and Company,Corporate,230
ECOSYNTHETIX LTD.,ECOSYNTHETIX,Corporate,36
ELC Management LLC,ELC Management,Corporate,33
EMC Corporation,EMC,Corporate,"1,613"
EMD Technologies Inc.,EMD Technologies,Corporate,2
ENERGY INDEPENDENCE OF AMERICA CORP.,ENERGY INDEPENDENCE OF AMERICA CORP,Corporate,138
ENI S.p.A.,ENI SpA,Corporate,24
EXOS LLC,EXOS,Corporate,486
East China University of Science and Technology,East China University of Science and Technology,Academic,  
Eaton Corporation,Eaton,Corporate,"44,776"
EchoStar Technologies LLC,EchoStar Technologies,Corporate,"1,523"
Ecolab Inc.,Ecolab,Corporate,"24,033"
Ecole Normale Superieure de Cachan,Ecole Normale Superieure de Cachan,Academic,  
Ecole Polytechnique Federale De Lausanne,Ecole Polytechnique Federale De Lausanne,Academic,  
Electronics and Telecommunications Research Institute,Electronics and Telecommunications Research Institute,Academic,  
Electrovaya Inc.,Electrovaya,Corporate,25
Elwha LLC,Elwha,Corporate,105
Em-Tech LLC,Em-Tech,Corporate,19
Embro Corporation,Embro,Corporate,4
Emory University,Emory University,Academic,  
Empire Technology Development LLC,Empire Technology Development,Corporate,41
Envisionit LLC,Envisionit,Corporate,54
Evernote Corporation,Evernote,Corporate,552
Evoqua Water Technologies LLC,Evoqua Water Technologies,Corporate,"2,724"
Exatec LLC,Exatec,Corporate,22
Excelsior Nanotech Corporation,Excelsior Nanotech,Corporate,2
ExxonMobil Chemical Patents Inc.,ExxonMobil Chemical Patents,Corporate,25
FLOW CONTROL LLC.,FLOW CONTROL,Corporate,24
FRONT EDGE TECHNOLOGY INC.,FRONT EDGE TECHNOLOGY,Corporate,3
FUJIFILM Corporation,FUJIFILM,Corporate,30
Fairchild Semiconductor Corporation,Fairchild Semiconductor,Corporate,"3,250"
FastCAP Systems Corporation,FastCAP Systems,Corporate,6
Fayetteville State University,Fayetteville State University,Academic,  
Federal Signal Corporation,Federal Signal,Corporate,746
Ferric Inc.,Ferric,Corporate,19
Ferro Corporation,Ferro,Corporate,2
Fianium Ltd.,Fianium,Corporate,14
Fike Corporation,Fike,Corporate,463
Finisar Corporation,Finisar,Corporate,"2,382"
FlashSilicon Incorporation,FlashSiliconorporation,Government,  
Floadia Corporation,Floadia,Corporate,58
Fluidigm Corporation,Fluidigm,Corporate,508
Forsyth Dental Infirmary for Children,Forsyth Dental Infirmary for Children,Academic,  
Fred Hutchinson Cancer Research Center,Fred Hutchinson Cancer Research Center,Academic,  
Friedrich-Alexander-Universitaet Erlangen-Nuernberg,Friedrich-Alexander-Universitaet Erlangen-Nuernberg,Academic,  
G.D.O. Inc,GDO,Corporate,38
GCP Applied Technologies Inc.,GCP Applied Technologies,Corporate,"1,000"
GE-Hitachi Nuclear Energy Americas LLC,GE-Hitachi Nuclear Energy Americas,Corporate,"26,412"
GEN-PROBE INCORPORATED,GEN-PROBE,Corporate,711
GENCO SCIENCES LLC,GENCO SCIENCES,Corporate,"2,588"
GENERAL MOTORS LLC,GENERAL MOTORS,Corporate,"115,074"
GLIKNIK INC.,GLIKNIK,Corporate,5
GLOBALFOUNDRIES Inc.,GLOBALFOUNDRIES,Corporate,"12,279"
GLYCON LLC,GLYCON,Corporate,15
GOAL ZERO LLC,GOAL ZERO,Corporate,2
GOLBA LLC,GOLBA,Corporate,6
GOOGLE TECHNOLOGY HOLDINGS LLC,GOOGLE TECHNOLOGY HOLDINGS,Corporate,"98,771"
GREENHILL ANTIBALLISTICS CORPORATION,GREENHILL ANTIBALLISTICS,Corporate, -   
Galemed Corporation,Galemed,Corporate,34
Garrity Power Services LLC,Garrity Power Services,Corporate, -   
Genesco Inc.,Genesco,Corporate,3
Genzyme Corporation,Genzyme,Corporate,"10,417"
Georgetown University,Georgetown University,Academic,  
Georgia Tech Research Corporation,Georgia Tech Research,Academic,  
Georgia-Pacific Gypsum LLC,Georgia-Pacific Gypsum,Corporate,"15,022"
Gestion Ultra International Inc.,Gestion Ultra,Corporate,3
Global Eagle Entertainment Inc.,Global Eagle Entertainment,Corporate,"1,024"
Global OLED Technology LLC,Global OLED Technology,Corporate,7
Glucan Biorenewables LLC,Glucan Biorenewables,Corporate,2
Google Inc.,Google,Corporate, -   
Grain Processing Corporation,Grain Processing,Corporate,299
Grandis Inc.,Grandis,Corporate,8
Greatbatch Ltd.,Greatbatch,Corporate,"1,312"
Greggory Tate Homrighous and Frank Bryan Homrighous,Greggory Tate Homrighous and Frank Bryan Homrighous,Ambiguous,  
Gtech Corporation,Gtech,Corporate,524
H R D CORPORATION,H R D,Corporate,595
HAMAMATSU PHOTONICS K.K.,HAMAMATSU PHOTONICS KK,Corporate,12
HGST NETHERLANDS B.V.,HGST NETHERLANDS BV,Corporate,"4,959"
HTC Corporation,HTC,Corporate, -   
Hadasit Medical Research Services & Development Company Ltd.,Hadasit Medical Research Services & Development Company,Corporate,9
Hamilton Sundstrand Corporation,Hamilton Sundstrand,Corporate,"2,519"
Harris Corporation,Harris,Corporate,350
Heat Seal LLC,Heat Seal,Corporate,24
Helios Focus LLC,Helios Focus,Corporate,194
Henkel AG & Co. KGaA,Henkel AG & Co KGaA,Corporate,"1,876"
Henry Ford Health Systems,Henry Ford Health Systems,Hospital,  
Heraeus Precious Metals North America Conshohocken LLC,Heraeus Precious Metals North America Conshohocken,Corporate,"2,967"
Hewlett-Packard Indigo B.V.,Hewlett-Packard Indigo BV,Corporate,"73,605"
Hitachi High-Technologies Corporation,Hitachi High-Technologies,Corporate,566
Honeywell International Inc.,Honeywell,Corporate,"107,762"
Hosiden Corporation,Hosiden,Corporate,23
Howard University,Howard University,Academic,  
Hoya Corporation,Hoya,Corporate,"1,102"
Humanetics Corporation,Humanetics,Corporate,247
Hunt Energy Enterprises LLC,Hunt Energy Enterprises,Corporate,4
Hunter Douglas Inc.,Hunter Douglas,Corporate,117
Hynix Semiconductor Inc.,Hynix Semiconductor,Corporate,137
Hysitron Incorporated,Hysitron,Corporate,45
IDEX Health & Science LLC,IDEX Health & Science,Corporate,166
II-VI Incorporated,II-VI,Corporate,"1,266"
IMDS Corporation,IMDS,Corporate,9
